,Umap_1,Umap_2
Or2T47,9.045524,5.133858
Or2T48,9.448967,6.3525753
Or2T49,9.394031,6.4270496
Or2T6,6.2598433,5.33618
Or2V1,3.7066848,5.232593
Or2V2,2.003857,6.7747154
Or2W1,3.3625717,7.2509704
Or2W2,9.477972,8.196113
Or2W25,2.3742495,7.4786625
Or2W3B,5.4229455,5.4124093
Or2W4,5.5551524,7.6209316
Or2W6,3.230966,7.5206428
Or2Y1,9.348502,8.399289
Or2Y10,9.403926,8.307452
Or2Y11,9.568211,7.742284
Or2Y12,9.626949,7.646687
Or2Y13,9.085882,8.293308
Or2Y14,7.3977814,8.810639
Or2Y15,9.473709,8.2660885
Or2Y16,9.536154,7.432295
Or2Y17,6.6230307,5.210568
Or2Y1B,9.348742,7.422138
Or2Y1C,9.492891,8.136156
Or2Y1D,9.237046,8.186983
Or2Y1E,9.247045,8.358005
Or2Y1F,9.429427,8.255688
Or2Y1G,9.342657,7.5768433
Or2Y6,9.641278,7.8701286
Or2Y8,9.578188,7.6284275
Or2Z2,9.037527,8.141622
Or2Z8,8.919625,8.562281
Or2Z9,3.4027615,7.45808
Or3A1,5.3215656,8.129513
Or3A10,3.289269,7.7546215
Or3A1B,3.2628279,7.6711235
Or3A1C,6.182941,7.6273055
Or3A1D,6.622687,7.936206
Or3A4,9.1409445,8.030518
Or4A15,7.767566,4.089937
Or4A2,7.3532853,4.3501267
Or4A27,7.6718216,4.1740384
Or4A39,9.233633,4.860175
Or4A47,9.427418,4.9439573
Or4A66,8.072713,3.8703864
Or4A67,8.04515,3.9572487
Or4A68,9.406606,4.452601
Or4A69,9.454763,4.6397943
Or4A70,9.268004,6.401814
Or4A71,9.303717,4.879513
Or4A72,9.425576,4.4724374
Or4A73,9.520771,4.5590763
Or4A74,9.400025,3.7786255
Or4A75,9.06982,5.382636
Or4A76,8.837664,4.465368
Or4A77,9.538933,4.6750574
Or4A78,8.665486,4.329478
Or4A79,9.529156,4.723542
Or4A80,9.107019,3.3420756
Or4A81,9.042093,3.3564398
Or4B1,8.737775,3.4163008
Or4B12,8.684789,3.4396746
Or4B13,2.3029048,7.184003
Or4B1B,8.767798,3.3882513
Or4B1D,8.340155,3.7273624
Or4C1,9.572756,4.7346573
Or4C10,9.544514,5.074803
Or4C100,9.193678,3.403738
Or4C101,9.356879,4.897184
Or4C102,9.345918,3.6358757
Or4C103,9.101609,3.292158
Or4C104,9.009493,3.3139927
Or4C105,9.55308,4.970059
Or4C106,9.497859,5.1057186
Or4C107,6.349762,4.0846763
Or4C108,8.184946,4.0063643
Or4C109,6.6475115,4.286997
Or4C10B,9.304698,4.314858
Or4C11,7.1339655,4.6867113
Or4C110,6.945754,4.3466
Or4C111,9.281139,4.7411346
Or4C112,7.9282393,4.259141
Or4C113,7.8537245,4.3602777
Or4C114,7.264339,4.3480253
Or4C115,7.8503947,4.6773405
Or4C116,7.1281176,4.1654797
Or4C117,8.427993,4.4144173
Or4C118,6.5523725,4.2166224
Or4C11B,9.043694,3.2113647
Or4C11C,8.611409,3.4338326
Or4C12,8.902682,3.390296
Or4C120,7.7933383,4.7321043
Or4C121,7.706378,4.328401
Or4C122,8.576527,4.537528
Or4C123,7.611353,4.18474
Or4C124,9.267252,3.540035
Or4C125,9.329293,4.8734026
Or4C126,6.489589,4.193452
Or4C127,9.631173,5.021056
Or4C12B,8.82753,3.4344482
Or4C15,9.369887,4.4117746
Or4C15B,8.368486,3.777177
Or4C29,9.070608,3.287364
Or4C3,8.057837,3.9282846
Or4C31,8.813668,4.6323404
Or4C35,9.40081,4.3836956
Or4C3D,7.4923615,4.198905
Or4C52,6.455896,4.1159854
Or4C58,9.170911,3.4283314
Or4D1,7.61385,4.3780427
Or4D10,8.85888,3.5848882
Or4D10B,8.736709,4.161779
Or4D10C,9.594107,5.1419454
Or4D11,9.075037,3.558493
Or4D2,9.532932,5.1183114
Or4D2B,8.793361,3.6934574
Or4D5,9.544676,5.1189303
Or4D6,8.873106,3.514648
Or4E1,8.884267,4.866775
Or4E2,3.8836048,5.305188
Or4E5,7.711627,4.016003
Or4F14,6.4996643,3.729851
Or4F14B,6.511632,3.7228017
Or4F14D,6.427142,3.6535866
Or4F15,6.470983,3.708545
Or4F47,8.037995,4.5215745
Or4F4B,8.164728,3.840637
Or4F52,6.266202,4.111364
Or4F53,7.805683,4.201719
Or4F54,7.2284064,4.3933377
Or4F56,6.486825,3.7160232
Or4F57,7.5056634,3.9400225
Or4F58,6.5318003,3.674837
Or4F59,6.3690176,3.6118999
Or4F6,7.743703,3.8437247
Or4F60,7.963829,3.7860918
Or4F61,6.365918,3.6207166
Or4F62,8.094362,4.5185275
Or4F7,6.4635935,3.6193404
Or4G16,9.361047,3.5990233
Or4G17,7.809232,4.32655
Or4G7,8.448839,4.525402
Or4K1,4.1248574,5.0060263
Or4K15,7.3680344,5.072311
Or4K15B,7.3493004,5.0789104
Or4K15C,7.57879,5.15848
Or4K2,7.286579,7.3351817
Or4K36,4.4969125,4.546763
Or4K37,4.475987,4.5319448
Or4K38,8.074808,5.8818235
Or4K40,4.492008,4.5266557
Or4K41,4.548792,4.490344
Or4K42,8.946221,4.846818
Or4K44,7.4748473,4.188181
Or4K45,7.978521,5.3477073
Or4K47,7.943595,4.201429
Or4K48,7.5021663,4.196558
Or4K49,8.951816,4.8341765
Or4K5,8.162559,6.7426844
Or4K51,8.916651,5.0137634
Or4K52,8.991693,4.982436
Or4K6,7.9340057,4.730217
Or4K77,4.521555,4.541398
Or4L1,6.9374194,4.0417356
Or4L15,8.196129,4.6782923
Or4M1,8.218151,4.565165
Or4N4,6.90014,4.074391
Or4N4B,6.976533,4.023027
Or4N5,7.6419497,4.139086
Or4P18,9.24707,3.4359496
Or4P19,9.31671,3.519359
Or4P20,9.169083,3.355344
Or4P21,8.377343,3.650318
Or4P22,9.158759,3.3400264
Or4P23,7.6249514,4.452171
Or4P7,9.084422,3.3292696
Or4P8,7.823289,4.1826577
Or4Q3,9.275015,4.5409036
Or4S2B,9.204957,3.4243627
Or4X11,9.079716,3.382392
Or4X13,9.485506,5.2557063
Or4X6,9.494251,5.0105424
Or4Z4,9.629742,5.120949
Or5A1,5.8665643,7.9836044
Or5A3,5.9805193,9.163377
Or5Ac15,5.571869,8.094325
Or5Ac16,5.348149,7.905474
Or5Ac17,5.6662483,8.421202
Or5Ac19,5.4865475,8.6295395
Or5Ac20,3.0746727,5.741815
Or5Ac21,5.1323004,7.1580505
Or5Ac22,5.3627367,8.020795
Or5Ac23,2.9359996,6.9104824
Or5Ac24,7.268976,6.373153
Or5Af1,8.133094,8.274376
Or5Af2,6.1452413,6.9225764
Or5Ak20,3.2920299,6.8188043
Or5Ak22,7.664776,7.4775085
Or5Ak23,4.979149,7.90069
Or5Ak24,7.326064,7.6406164
Or5Ak25,7.105686,7.646067
Or5Ak4,3.322051,6.890965
Or5Al1,6.381537,7.163684
Or5Al5,2.5441108,6.7365727
Or5Al6,4.211481,6.533012
Or5Al7,7.4572425,6.161488
Or5An10,5.3099465,7.3951535
Or5An11,5.0905595,7.3581495
Or5An1B,5.1665998,7.2646627
Or5An1C,5.152637,7.263538
Or5An6,6.091231,7.19704
Or5Ap2,5.4421015,8.3654995
Or5Aq1,6.048786,8.408795
Or5Aq1B,5.456192,8.751102
Or5Aq6,8.808489,4.7389994
Or5Aq7,5.1038117,8.153409
Or5Ar1,5.953366,8.133758
Or5As1,6.0279617,8.319622
Or5Au1,3.4593992,7.586648
Or5B101,1.952174,6.0293756
Or5B102,2.4355679,6.843292
Or5B104,2.1518822,6.4275475
Or5B106,2.0308192,5.9795365
Or5B107,5.5368323,8.386739
Or5B108,6.073608,8.367501
Or5B109,2.323675,6.6702957
Or5B111,5.570744,7.701202
Or5B112,2.24058,6.643759
Or5B113,1.9053799,6.150224
Or5B116,2.6288283,6.7491884
Or5B117,2.754967,6.7875576
Or5B118,2.8716986,6.4853063
Or5B119,2.7185278,6.6616726
Or5B12,5.366156,8.040554
Or5B120,2.6006215,6.5472097
Or5B121,2.2652442,6.656674
Or5B122,3.1123283,6.179914
Or5B123,2.961836,6.4160137
Or5B124,6.674763,8.405322
Or5B12B,4.7753525,7.18028
Or5B21,6.7911057,7.8728824
Or5B24,6.433135,8.22353
Or5B3,2.7140074,6.3101296
Or5B94,5.435148,8.356991
Or5B95,2.222007,6.7789083
Or5B96,2.1876814,6.521322
Or5B97,1.9273254,6.1593833
Or5B98,2.078958,5.887371
Or5B99,2.180219,6.2667933
Or5Be3,2.702769,6.1859446
Or5Bh3,3.2160325,7.3340006
Or5Bw2,5.3169513,8.464801
Or5C1,7.9040184,6.922491
Or5D14,7.177483,8.377351
Or5D16,5.484347,5.319062
Or5D18,4.7602415,6.872817
Or5D35,4.6972895,5.5905766
Or5D36,2.9259627,6.5404787
Or5D37,5.8480153,5.482764
Or5D38,6.036895,5.292248
Or5D39,5.7614274,5.3555083
Or5D40,6.07379,7.309517
Or5D41,5.795245,5.338981
Or5D43,5.390991,6.3315163
Or5D46,7.1769276,8.830461
Or5D47,4.629219,7.0354714
Or5E1,3.4475784,5.5000386
Or5G23,4.1332865,5.184042
Or5G25,5.6945043,8.126356
Or5G26,2.9056292,6.187708
Or5G27,3.1450145,7.011253
Or5G29,3.0678115,6.959317
Or5G9,2.1648233,5.8269763
Or5H17,7.7619257,6.5440025
Or5H18,3.2045634,5.246492
Or5H19,7.228285,6.439015
Or5H22,6.584983,6.0961094
Or5H23,5.6176915,7.993785
Or5H25,7.8090696,6.609615
Or5H26,6.8734627,6.2968
Or5I1,7.6186905,7.37637
Or5J1,5.9039664,8.622324
Or5J3,5.5830374,8.321057
Or5K1,7.298287,6.726148
Or5K14,7.359514,7.1134567
Or5K15,7.327467,7.7436604
Or5K16,7.104649,6.709999
Or5K17,7.1637106,6.689746
Or5K1B,7.203607,6.767039
Or5K3,7.950276,7.0947514
Or5L13,6.8118925,7.944598
Or5L14,6.577938,7.714942
Or5M10,3.3085074,6.9650993
Or5M10B,6.8702593,8.015855
Or5M11,3.156843,7.010932
Or5M11B,6.9154825,8.131598
Or5M12,2.1089914,6.570523
Or5M13B,3.0244937,5.779636
Or5M3,8.011725,6.76414
Or5M3B,7.238304,7.607283
Or5M5,3.2311864,7.028178
Or5M8,7.160867,7.903007
Or5M9,3.3433597,5.526091
Or5M9B,3.3986104,5.556459
Or5O1,3.9216638,6.5944157
Or5P1,6.738026,8.673944
Or5P4,9.425366,6.733089
Or5P5,6.4612093,9.171485
Or5P50,6.469082,9.367432
Or5P51,6.5575414,9.24412
Or5P52,7.734672,8.279168
Or5P53,9.21627,6.2166767
Or5P55,6.898722,8.9523
Or5P56,6.5824056,9.002826
Or5P57,5.6279135,9.1250515
Or5P58,6.487577,9.272834
Or5P59,2.579238,7.5843844
Or5P6,2.4685614,7.466007
Or5P60,6.38372,9.27667
Or5P61,6.410901,9.317072
Or5P62,6.207389,9.238261
Or5P63,2.6641037,7.548574
Or5P64,6.1527295,9.299508
Or5P66,6.2946296,9.39969
Or5P67,6.4132533,9.308289
Or5P68,6.247899,9.356724
Or5P69,6.245555,9.387854
Or5P70,6.2357903,9.3844185
Or5P72,6.2524223,9.420048
Or5P73,6.2241144,9.20576
Or5P76,2.6090086,7.5011234
Or5P78,6.4173803,9.33712
Or5P79,6.5201073,9.748132
Or5P80,5.8954034,9.155625
Or5P81,6.371923,9.175542
Or5T15,6.070249,7.418389
Or5T16,6.781119,8.666579
Or5T17,6.645608,8.425567
Or5T18,5.8430457,7.2838845
Or5T5,9.325154,6.5508323
Or5T7,6.5538588,9.096081
Or5T9,6.6798716,8.592338
Or5V1,4.407667,7.065416
Or5V1B,2.297675,7.5120573
Or5W1,5.163378,7.828552
Or5W10,5.1514544,7.7343626
Or5W11,7.8801107,7.330909
Or5W12,9.022534,4.970718
Or5W13,7.82998,7.512453
Or5W14,7.726845,7.053786
Or5W15,7.4934278,7.637152
Or5W16,7.95921,6.4822087
Or5W18,7.6921024,7.9118953
Or5W19,7.6753664,7.607486
Or5W1B,5.072521,7.5550494
Or5W20,7.8041687,7.46246
Or5W22,8.593629,7.8162446
Or5W8,7.84572,7.4524536
Or6A2,2.9106953,7.167388
Or6Aa1,8.939026,6.2254825
Or6Ae1,9.448621,6.4865046
Or6B13,9.342916,5.5839868
Or6B2,7.3001065,7.633219
Or6B2B,2.897117,7.1388946
Or6B3,7.9644704,6.4107027
Or6B6,3.775949,6.918558
Or6B9,3.5899642,5.2442555
Or6C1,3.3114464,4.974998
Or6C1B,5.224773,4.7579436
Or6C2,4.3151474,2.6688037
Or6C201,4.303812,2.701325
Or6C203,4.32149,2.6717114
Or6C204,4.2815933,2.765595
Or6C205,5.7751126,4.8095546
Or6C206,5.607443,4.2166247
Or6C207,4.4247026,3.3615484
Or6C208,4.3491755,3.0933928
Or6C209,4.0383954,4.1380377
Or6C210,4.2882557,3.3312778
Or6C211,4.4327016,3.5742195
Or6C214,5.397416,3.9345255
Or6C215,4.4439135,3.3844833
Or6C216,4.2862473,2.794429
Or6C217,4.178184,2.8075967
Or6C219,4.370821,2.771656
Or6C2B,4.3433614,2.6823545
Or6C3,5.457896,4.053876
Or6C33,5.212116,3.8062794
Or6C35,4.2332716,2.700963
Or6C3B,5.591457,4.114728
Or6C5,5.4852686,4.075726
Or6C5B,5.3374686,3.9369028
Or6C5C,5.491196,4.0479355
Or6C6,4.4186435,3.3044665
Or6C65,4.2675686,2.7274742
Or6C66,4.2703586,3.8701816
Or6C66B,4.3585987,3.6004798
Or6C68,4.2844987,2.6984453
Or6C69,4.332034,2.7531536
Or6C69B,4.3930364,2.9170089
Or6C69C,4.283892,2.7901955
Or6C6C,4.432004,3.243577
Or6C7,5.4974966,4.043682
Or6C70,4.2040625,2.7770095
Or6C74,4.7085757,3.9833865
Or6C75,4.6502686,3.6905527
Or6C76,4.4341254,3.3312526
Or6C76B,4.4639225,3.263246
Or6C8,5.7906675,4.195069
Or6C88,4.7281137,6.796725
Or6D12,7.2608857,4.55078
Or6D13,7.1994286,4.5829062
Or6D14,3.3119228,5.2694793
Or6D15,5.517092,4.0310783
Or6E1,3.7426336,5.823616
Or6F1,3.4948108,7.470107
Or6F2,8.465655,7.241385
Or6K14,6.3834586,4.4632864
Or6K2,2.7865589,7.242713
Or6K4,9.618605,3.5093615
Or6K6,6.4606366,4.5193453
Or6N1,9.198292,3.3602834
Or6N2,9.399733,8.05563
Or6P1,5.910748,6.544719
Or6S1,5.4784517,8.988818
Or6X1,3.6544354,7.1982403
Or6Y1,7.137987,5.96855
Or6Z1,3.1745825,7.33579
Or6Z3,7.9733186,7.0384994
Or6Z5,3.0080543,7.3025255
Or6Z6,3.1891098,7.3944306
Or6Z7,7.972273,7.0143924
Or7A35,3.2124443,5.612608
Or7A36,3.7422814,6.1185756
Or7A37,4.9351945,5.3691583
Or7A38,4.9876614,5.313607
Or7A39,4.9973254,5.376371
Or7A40,3.69457,6.0246086
Or7A41,3.9996183,5.2719245
Or7A42,4.9338903,5.3374324
Or7C19,1.9547551,6.5126324
Or7C70,4.0595646,8.097105
Or7D10,2.5345042,5.782051
Or7D11,5.022837,5.3955507
Or7D9,2.6006079,5.792613
Or7E165,4.2811747,5.1379046
Or7E166,4.570825,5.1084247
Or7E168,4.231072,7.6165776
Or7E169,4.4288383,5.1255345
Or7E170,1.9943945,6.578109
Or7E174,3.7488937,5.930947
Or7E175,4.255943,5.7007174
Or7E176,2.517464,5.8009477
Or7E177,3.5817146,7.6653757
Or7E178,2.1227763,5.627582
Or7G12,6.631135,5.741096
Or7G16,3.2385209,5.549033
Or7G17,3.5774229,6.2727456
Or7G18,2.4109368,5.5970383
Or7G19,7.857426,6.782755
Or7G20,3.2782123,5.52771
Or7G21,2.4256103,5.569486
Or7G22,3.2437754,5.293398
Or7G25,3.6221857,5.8018026
Or7G27,3.5547287,5.9348288
Or7G28,3.6351063,5.6008086
Or7G29,2.3137863,6.119907
Or7G30,2.314344,5.612111
Or7G32,2.5482535,5.750424
Or7G33,3.0176203,5.3316417
Or7G34,3.2208254,5.4257183
Or7G35,2.3077981,6.7610035
Or7H8,6.078814,6.675326
Or8A1,5.386435,5.9746346
Or8A1B,6.8067017,5.8546124
Or8B1,8.708696,7.100081
Or8B101,6.9267583,5.8666263
Or8B12,8.502922,7.381017
Or8B12B,6.875526,7.50997
Or8B12C,6.6570125,7.743573
Or8B12I,5.336998,6.870839
Or8B1B,8.690289,6.7789555
Or8B1C,8.8158045,6.68298
Or8B3,8.520669,6.637361
Or8B35,8.343922,6.323152
Or8B36,8.069391,6.1087823
Or8B37,6.7842846,5.8979096
Or8B38,6.913149,5.919578
Or8B39,6.0187902,5.661641
Or8B3B,8.687865,6.7862115
Or8B4,2.4048164,6.84132
Or8B40,5.4220552,5.595733
Or8B41,5.4656796,5.4841204
Or8B42,7.241461,5.8871107
Or8B43,7.821246,6.0323772
Or8B44,8.46866,6.602093
Or8B46,8.155658,6.679903
Or8B48,8.113077,6.5976357
Or8B49,5.9389524,5.9318643
Or8B50,8.429081,6.547241
Or8B51,8.804742,7.1398473
Or8B52,8.8500805,6.8733916
Or8B53,8.681506,6.7584805
Or8B54,8.168085,6.449959
Or8B55,7.9575353,6.0795794
Or8B56,8.17817,6.257504
Or8B57,8.446681,6.314597
Or8B8,5.6315384,6.2079005
Or8B9,8.699546,7.0624876
Or8C10,8.570806,7.303204
Or8C11,5.623548,6.2257743
Or8C13,3.4209692,5.184501
Or8C15,5.2135744,5.3498845
Or8C16,5.393343,5.419846
Or8C17,5.3981557,5.471398
Or8C20,5.5909357,6.4323134
Or8C8,5.4225445,5.518143
Or8C9,5.3862658,6.4117327
Or8D1,6.0202193,5.881116
Or8D1B,6.00394,5.8346653
Or8D2,8.222452,6.2694397
Or8D23,6.8076596,6.082873
Or8D2B,8.778331,6.2624316
Or8D4,7.013463,6.67444
Or8D6,6.6653438,7.741764
Or8G17,4.889877,6.9850326
Or8G18,5.1123104,7.0376773
Or8G19,4.9005136,6.4063697
Or8G2,2.7807896,5.2024336
Or8G20,5.304155,5.5049953
Or8G21,5.2867064,5.5022893
Or8G23,5.327412,5.514154
Or8G24,8.72186,6.72969
Or8G26,5.2771072,5.507085
Or8G27,4.9477277,6.6253653
Or8G28,3.425209,5.7354255
Or8G2B,4.9683647,7.104558
Or8G30,5.2331657,5.520533
Or8G32,2.183897,5.664415
Or8G33,8.189615,6.629796
Or8G34,4.8371663,6.5827627
Or8G35,8.003048,6.449213
Or8G36,4.894183,7.276463
Or8G37,8.090943,6.5090146
Or8G4,7.958567,6.3428507
Or8G50,5.3283386,5.55001
Or8G51,4.9238,6.86994
Or8G52,7.9662194,6.3247466
Or8G53,5.812104,5.454263
Or8G54,8.285508,6.444481
Or8G55,4.8745756,7.8169575
Or8H10,3.6004906,6.8690543
Or8H7,7.42391,6.448393
Or8H8,7.3288674,6.36945
Or8H9,3.814924,5.385376
Or8I2,6.9943743,7.9231057
Or8J3,7.688477,7.4733553
Or8J3B,7.5180774,7.552654
Or8J3C,6.9796624,8.073695
Or8K1,3.7757638,5.359186
Or8K16,3.51768,7.2330184
Or8K17,2.2821393,6.659353
Or8K18,4.641528,5.717752
Or8K20,4.523069,5.815051
Or8K21,7.1528444,8.115474
Or8K22,4.600548,5.737766
Or8K23,5.012451,5.5916014
Or8K24,6.9787526,6.7367663
Or8K25,4.7231555,6.810304
Or8K27,4.3728733,5.8043976
Or8K28,3.1510472,5.4589605
Or8K3,7.7557783,7.2352285
Or8K30,3.3027442,6.0359354
Or8K32,4.389852,5.765844
Or8K33,4.4484425,5.7806263
Or8K35,4.4018016,5.781487
Or8K37,2.7992585,6.2746587
Or8K38,4.4869757,5.7313423
Or8K39,4.6555943,5.933021
Or8K3B,7.217634,8.128398
Or8K40,4.346369,6.0087605
Or8K41,4.1193504,5.6282306
Or8K53,1.7891457,6.07691
Or8S10,8.794086,7.0984354
Or8S16,9.516789,5.393686
Or8S2,9.085426,6.5551376
Or8S5,4.3673925,7.6202474
Or8S8,9.033742,7.209333
Or8U10,3.730083,5.694517
Or8U8,3.0024574,6.9126887
Or8U9,2.478124,6.173537
Or8W1,7.833717,7.453667
Or9A2,5.7504034,4.2579455
Or9A4,4.668428,4.1887045
Or9A7,3.7559268,6.8826303
Or9E1,6.056984,7.180249
Or9G19,7.3660355,8.70042
Or9G20,7.327927,8.679794
Or9G3,7.2449794,8.709971
Or9G4,7.3584023,8.417041
Or9G4B,7.844939,8.133795
Or9G8,7.306508,8.718442
Or9I1,5.218699,8.02215
Or9I14,5.2896466,7.957146
Or9I16,6.413052,8.103323
Or9I1B,5.314118,8.186288
Or9I2,6.377459,8.196929
Or9K2,5.5934296,8.660841
Or9K2B,5.433434,8.55974
Or9K7,5.802435,8.6796875
Or9M1,3.071314,6.8998904
Or9M1B,3.1280892,6.716035
Or9M2,6.1936207,7.384618
Or9Q1,8.687037,8.187492
Or9Q2,7.405217,7.567719
Or9R3,5.5415745,8.75688
Or9R7,5.4021645,8.644753
Or9S13,7.614098,7.5122743
Or9S14,5.8852463,8.501302
Or9S15,5.4391255,9.012096
Or9S18,6.6480083,9.026991
Or9S23,5.512231,8.753226
Or9S27,3.1117773,7.4690876
Or10A2,3.3489943,7.422067
Or10A3,3.693901,5.050766
Or10A3B,3.721951,5.061777
Or10A3M,3.6867251,4.9291477
Or10A3N,3.717286,4.9875336
Or10A4,3.5288482,7.3260155
Or10A48,3.686801,5.009726
Or10A49,3.1502454,7.434541
Or10A5,3.1434197,7.5433993
Or10Aa1,6.652307,5.826907
Or10Aa3,9.348033,5.4387255
Or10Ab4,6.532602,7.3923984
Or10Ab5,6.6817317,7.301167
Or10Ac1,8.450581,8.160877
Or10Ad1,6.2335863,6.6743345
Or10Ad1B,6.824868,5.1201015
Or10Ag2,8.97796,8.147783
Or10Ag52,6.394742,5.7277813
Or10Ag53,6.178553,5.979803
Or10Ag54,8.9348755,8.183611
Or10Ag56,8.905501,8.205551
Or10Ag57,8.567384,8.242039
Or10Ag58,6.7951684,7.6738486
Or10Ag59,6.5358014,5.9219766
Or10Ag60,8.933495,8.091655
Or10Ak11,6.336027,5.4876747
Or10Ak12,6.101357,5.49355
Or10Ak13,6.3222,5.375288
Or10Ak14,6.707336,7.4352446
Or10Ak16,6.6292377,5.2853312
Or10Ak7,6.397543,5.3820643
Or10Ak8,9.130675,8.534706
Or10Ak9,6.253285,5.460512
Or10Al2,5.0223136,9.3141
Or10Al3,6.454381,7.5046463
Or10Al4,2.0533786,6.842423
Or10Al5,6.822651,7.8098917
