,Olfr,PC1 (1.41%),PC2 (1.11%),rtp_ko,new_cluster,zone,identity,stress_score,DL_OR,Class
109,Olfr1132,-2.23731317533146,-9.369428322824124,oOR,5.0,1,High Stress,3.441236775873876,Or8w1,8
110,Olfr1133,-1.234978614716849,5.0819768014976,uOR,5.0,1.5,High Stress,3.8960518567300935,Or5w1b,5
111,Olfr1134,-2.2200751601090065,1.807025314892992,uOR,5.0,2,High Stress,2.854527584084525,Or5w1,5
112,Olfr1135,-2.23731317533146,-9.369428322824124,uOR,5.0,2,High Stress,1.9569845822313456,Or5w12,5
113,Olfr1136,-8.778846074618,-2.769318014622152,,5.0,,High Stress,3.586565418789415,Or5w13,5
114,Olfr1137,9.31766981113038,-9.602465045425756,uOR,5.0,1,High Stress,2.3437184656308583,Or5w14,5
115,Olfr1138,11.83220394131727,1.185222862902736,,5.0,2,High Stress,2.431392055393012,Or5w15,5
116,Olfr114,5.016911659833977,0.0553271294356829,uOR,3.0,3,High Stress,3.964939829212368,Or14j3,14
117,Olfr1140,-4.732197035896892,-5.30443274070287,uOR,5.0,1.5,High Stress,2.338325077362436,Or5w16,5
118,Olfr1141,-0.5686887456573056,-0.7163046185695124,,5.0,,High Stress,3.042477414351511,Olfr1141,None
119,Olfr1143,3.423478534918064,-8.680464842691231,uOR,5.0,2,High Stress,3.020717714762191,Or5w18,5
120,Olfr1145,5.925884159957947,-8.358931822193338,,3.0,2,High Stress,1.95089721075128,Or12e10,12
121,Olfr1148,-2.7903639945872305,-0.8241213670983505,uOR,3.0,2.5,High Stress,0.6999273366253723,Or12e13,12
122,Olfr115,0.8699233166486241,9.347411684668131,,3.0,2.5,High Stress,3.3003111127675138,Or14j4,14
123,Olfr1150-ps1,6.0668744284106975,-7.104999987016361,,3.0,,High Stress,1.174135520826831,,
124,Olfr1151,0.8462516574090768,-6.779217276397549,uOR,5.0,2,High Stress,2.574441886675685,Or5w8,5
125,Olfr1152,3.2218760713865,-5.088206677833179,uOR,5.0,2.5,Low Stress,-0.12237793330539,Or5w19,5
126,Olfr1153,2.1415694751992738,-10.38105395434412,,5.0,2,High Stress,2.9705303450436404,Or5w20,5
127,Olfr1154,3.550522376080598,13.026917717833395,uOR,5.0,1,High Stress,2.387085521026927,Or9m1,9
128,Olfr1155,-8.081635966084285,-1.6190447424185628,uOR,5.0,1,High Stress,2.609023840081296,Or5d16,5
129,Olfr1156,6.25603712783422,7.85898965484474,,5.0,1,High Stress,0.2757575668286507,Or5l13,5
130,Olfr1157,-1.3435421947849555,3.893228759538039,uOR,5.0,1,High Stress,2.051921705154782,Or5l14,5
131,Olfr1158,3.550522376080598,13.026917717833395,,5.0,,High Stress,2.8324911776349704,Or9m2,9
132,Olfr116,-2.1632282894859567,3.577422843711669,uOR,3.0,3,High Stress,2.8685639366059053,Or14j10,14
133,Olfr1160,12.58048063704386,2.3274098150959133,uOR,5.0,,High Stress,1.9747445706959008,Or9m1b,9
134,Olfr1161,-10.522399211087237,-0.963217069421566,uOR,5.0,,High Stress,2.238883205302559,Or5d35,5
135,Olfr1162,6.236970839301344,-4.139965550660147,uOR,5.0,1,High Stress,1.5529104568567862,Or5d14,5
136,Olfr1163,-0.8786321168292266,-7.213992351132546,,5.0,1.5,High Stress,1.9336951733313728,Or5d36,5
137,Olfr1164,-8.084790272940456,-0.0541862967688956,,5.0,,High Stress,3.764096815289455,Or5d37,5
138,Olfr1166,-6.741972850158283,-3.156368273792103,,5.0,1.5,High Stress,2.4517921399002964,Or5d38,5
139,Olfr1167,-3.569333247676862,0.4328899117448777,,5.0,1,High Stress,0.0833689371000434,Or5d39,5
140,Olfr1168,-1.3573936299051337,2.868713893297146,oOR,5.0,1.5,High Stress,1.137514460494915,Or5d40,5
141,Olfr117,3.8079660847656656,-9.639009916955388,,3.0,3,High Stress,0.1432999471513243,Or2g25,2
142,Olfr1170,-5.831547437131484,-0.370424812298552,uOR,5.0,1,High Stress,1.4719449058100451,Or5d41,5
143,Olfr1173,-5.831547437131484,-0.370424812298552,,5.0,1,High Stress,0.1112736184193382,Or5d43,5
144,Olfr1174,-8.007361609836552,2.8965253467813303,,,,,,,
145,Olfr1174-ps,-8.007361609836552,2.8965253467813303,,5.0,,High Stress,1.1758264197681112,,
146,Olfr1175,-9.498458846034058,3.426009079631465,,,,,,,
147,Olfr1175-ps,-9.498458846034058,3.4260090796314646,,5.0,,High Stress,0.3801546829498375,,
148,Olfr1176,5.3307848470972745,-0.7438039337482047,uOR,5.0,1,High Stress,0.8700663304964624,Or5d46,5
149,Olfr1177,7.573673045756765,-7.178197409377744,,,,,,,
150,Olfr1177-ps,7.573673045756765,-7.178197409377744,,5.0,,High Stress,0.6901585080604492,,
151,Olfr1178,5.611910645112249,3.8892807923810615,uOR,2.0,4,Low Stress,-0.2950969639356487,Or4p7,4
152,Olfr1179,7.264073382287987,-1.3929544778808736,,2.0,5,Low Stress,-3.8291692814553673,Or4p18,4
153,Olfr118,-0.076520640988609,-0.9599820832694343,oOR,3.0,2,High Stress,0.3061067070292507,Or10al2,10
154,Olfr1180,3.272260877478616,-3.7281848449425774,,2.0,5,Low Stress,-0.3664622793345449,Or4p19,4
155,Olfr1181,-0.3532185252566632,-0.2018508742497096,,2.0,5,High Stress,0.7501413928806361,Or4p20,4
156,Olfr1182,-2.2134546125767587,1.319791775819399,uOR,,,,,Or4p21,4
157,Olfr1183,2.27977840901805,-8.833063832919274,uOR,2.0,4.5,Low Stress,-2.006899355889862,Or4c31,4
158,Olfr1184,3.5604486416081715,-0.4062002380834162,uOR,2.0,4,High Stress,0.1755669426328402,Or4p22,4
159,Olfr1185-ps1,0.389320460079484,4.302011391336197,,2.0,,Low Stress,-5.244096959827516,,
160,Olfr1186,4.669709014214324,-1.8554044638466969,,2.0,4.5,Low Stress,-1.4717586260168274,Or4c100,4
161,Olfr1188,-4.275804588150914,-1.890182024196443,,2.0,,High Stress,4.034642881187586,Or4c101,4
162,Olfr1189,-0.4998190783038428,-2.21877466841935,,2.0,2,Low Stress,-1.1308545491067887,Or4c102,4
163,Olfr119,0.669359862021702,4.897580407843708,oOR,3.0,2.5,High Stress,0.2638896536325136,Or10al3,10
164,Olfr1191-ps1,0.9208803179399356,-2.179435157394112,,2.0,,Low Stress,-1.101346878688293,,
165,Olfr1192-ps1,2.7102729542247235,-5.335394120984792,,2.0,,Low Stress,-1.4080868441473813,,
166,Olfr1193,0.3575152035779573,-1.792756258546614,oOR,2.0,4,Low Stress,-0.512435538004111,Or4s2b,4
167,Olfr1195,1.784820631923687,-0.0281978551531682,oOR,2.0,4.5,High Stress,0.7154112149068242,Or4c103,4
168,Olfr1196,4.60729403255879,2.639728216730699,uOR,2.0,4,Low Stress,-1.663928104840129,Or4a66,4
169,Olfr1197,-4.799069473734345,4.401513375062175,oOR,2.0,4,Low Stress,-1.9452305279635924,Or4a27,4
170,Olfr1198,-4.700451421433213,1.1877254284963696,uOR,2.0,4,Low Stress,-1.0743043597468471,Or4p23,4
171,Olfr1199,3.2066891085743854,1.869042507864176,,2.0,5,High Stress,0.1563957196334755,Or4c104,4
172,Olfr12,10.121578344665812,-1.7893662053351245,uOR,5.0,4,Low Stress,-0.0035725016130339,Or9s13,9
173,Olfr120,-0.076520640988609,-0.9599820832694343,oOR,3.0,2,Low Stress,-0.4849790113731351,Or10al4,10
174,Olfr1200,6.107248990208702,3.3405468590072727,uOR,2.0,4,Low Stress,-0.4002356448600195,Or4a67,4
175,Olfr1201,3.960086867342402,2.640983922530668,,2.0,5,Low Stress,-3.5619606037836165,Or4c11b,4
176,Olfr1202,-3.106417865389852,-5.29063539110429,uOR,2.0,5,Low Stress,-0.2484893183729721,Or4c105,4
177,Olfr1204,-4.569994090914421,-4.752168433043361,,2.0,5,Low Stress,-0.575044464360576,Or4c106,4
178,Olfr1205,-2.1204618847128467,3.092112102353558,uOR,2.0,5,Low Stress,-1.1048229142963857,Or4c11c,4
179,Olfr1206,-6.378464220776445,2.609487505230221,uOR,2.0,5,Low Stress,-2.692025774199773,Or4c11,4
180,Olfr1208,0.5249375610626568,3.290856159313127,uOR,2.0,,Low Stress,-0.8716779390872925,Or4p8,4
181,Olfr1209,5.263164269862012,0.6674714444356302,oOR,2.0,3.5,Low Stress,-0.7992072282656197,Or4c29,4
182,Olfr121,-0.4721164557391535,0.11662274744673,uOR,3.0,2.5,Low Stress,-0.3763753127451771,Or10al5,10
183,Olfr1211,0.5896057754262612,-6.1328304428283085,uOR,2.0,5,Low Stress,-2.653659653738525,Or4c15,4
184,Olfr1212,-8.610556824810294,0.2729521710100778,uOR,2.0,4.5,Low Stress,-2.3715879634811627,Or4c107,4
185,Olfr1213,5.810873621260338,9.416026414359488,oOR,,,,,Or4c108,4
186,Olfr1214,-4.010677770812904,-7.35741640908568,,2.0,3.5,Low Stress,-0.0562871776242442,Or4c109,4
187,Olfr1215,-3.235770577853614,1.8181014481754136,uOR,2.0,2.5,High Stress,0.9461460616236932,Or4c110,4
188,Olfr1216,-2.122167326365598,-1.577762868811755,,2.0,2.5,High Stress,0.3416213100697056,Or4c111,4
189,Olfr1217,-4.347835540930192,5.73007001317562,uOR,2.0,2,Low Stress,-1.0038799856723126,Or4c112,4
190,Olfr1218,-1.2327909087964612,0.2120213090496548,,2.0,2.5,Low Stress,-0.900972151667583,Or4c113,4
191,Olfr1219,-5.678385469073652,4.053436038512461,oOR,2.0,2,Low Stress,-4.0828070618933365,Or4c114,4
192,Olfr122,0.8674179581081393,4.907051667604842,uOR,3.0,2.5,Low Stress,-0.1260171547485475,Or10al6,10
193,Olfr1220,-6.149524525790293,0.740011456573079,,2.0,4.5,Low Stress,-1.7755774600828769,Or4c115,4
194,Olfr1221,-6.388199989896352,-3.267125235653096,uOR,2.0,3,Low Stress,-1.1973480882179806,Or4c116,4
195,Olfr1222,-1.469081191906232,-6.951679728231818,uOR,2.0,2.5,Low Stress,-1.493084127434067,Or4c117,4
196,Olfr1223,-7.263498911550752,0.8484487282844618,,2.0,3.5,Low Stress,-1.7716292161621527,Or4c118,4
197,Olfr1224-ps1,-9.980602431842762,0.5636787633663735,,2.0,,High Stress,0.3318284275103957,,
198,Olfr1225,-3.1297735195235084,-0.2085804364802304,uOR,2.0,2,High Stress,0.1610372237033747,Or4c120,4
199,Olfr1226,-6.3282013207110746,-1.428547810504564,oOR,2.0,4,Low Stress,-3.0844940078000307,Or4c121,4
200,Olfr1228,0.4118765157550856,-8.364790312242542,uOR,2.0,5,Low Stress,-1.1354837013616317,Or4c122,4
201,Olfr1229,0.7636199859196825,7.166146676660405,uOR,2.0,4,Low Stress,-2.0910767538040043,Or4c15b,4
202,Olfr123,3.475958463835117,-6.5777756855279375,uOR,3.0,3.5,Low Stress,-1.3796623013469518,Or2g1,2
203,Olfr1230,-4.666650129945233,-3.375266362411157,,2.0,4.5,Low Stress,-2.407003376550369,Or4c123,4
204,Olfr1231,-2.2525641227348854,-3.293605415251996,oOR,2.0,2,Low Stress,-1.122816764214093,Or4c1,4
205,Olfr1232,3.409322706082285,0.8166121206602482,,2.0,3.5,Low Stress,-0.3560135299496332,Or4c124,4
206,Olfr1233,-4.856093407798798,-0.8447115795334621,uOR,2.0,2,High Stress,0.3789655355151775,Or4c125,4
207,Olfr1234,-4.326249663035055,-2.377343375993434,uOR,2.0,2.5,Low Stress,-1.0567249064470463,Or4a15,4
208,Olfr1238,-3.02830470291969,0.0320986918740809,uOR,2.0,3,Low Stress,-0.4174071134860986,Or4a39,4
209,Olfr1239,-6.950358207738325,0.239974552114977,oOR,2.0,3,Low Stress,-1.746446619647464,Or4a2,4
210,Olfr124,5.6726325363959305,-7.216295355493086,uOR,3.0,4.5,Low Stress,-4.826295342694108,Or2b4,2
211,Olfr1240,0.5122953837933459,-4.631002400126987,uOR,2.0,3,Low Stress,-0.2457032908840856,Or4a68,4
212,Olfr1241,-1.9509100111434068,-2.0723300226595254,uOR,2.0,4,Low Stress,-0.6872513948421347,Or4a69,4
213,Olfr1242,-2.495037980542425,-7.834269449980852,uOR,2.0,4,Low Stress,-4.420415687756299,Or4a70,4
214,Olfr1243,-3.426353908167666,-3.1784672320395297,oOR,2.0,3.5,Low Stress,-1.9861170122148848,Or4a71,4
215,Olfr1245,-0.6830329182302246,-2.9017148515010387,,2.0,,Low Stress,-0.2889958114555838,Or4a72,4
216,Olfr1246,-1.4077362946126608,-2.0595936010246207,uOR,2.0,3,High Stress,0.4385800011646829,Or4a73,4
217,Olfr1247,-0.4383673865173996,-1.4164016120195628,,2.0,3,Low Stress,-0.1754761031404252,Or4a74,4
218,Olfr1248,-2.0684211383952484,-1.7719276460234008,,2.0,3,Low Stress,-0.449899412175091,Or4a75,4
219,Olfr1249,-0.6387776952907476,-1.5234421950117794,,2.0,,Low Stress,-2.6137910411941947,Or4a76,4
220,Olfr125,-3.483481454366228,-5.675964931850901,uOR,3.0,3,High Stress,0.6981999005815668,Or14j1,14
221,Olfr1250,-1.883129772145456,-1.78740029509559,oOR,2.0,3,Low Stress,-0.1141091059491778,Or4a77,4
222,Olfr1251,0.7342260086029901,-2.188272440488479,uOR,2.0,3,Low Stress,-0.8070477591875936,Or4a78,4
223,Olfr1252,-2.273712351827727,-2.3284116834565776,uOR,2.0,3,Low Stress,-0.1892907589695493,Or4a79,4
224,Olfr1253,2.081959251069256,1.6484974453701815,uOR,2.0,2,High Stress,1.0786698425006231,Or4a80,4
225,Olfr1254,0.3765358516413872,1.4343256436304688,uOR,2.0,4,Low Stress,-0.5822371724853123,Or4a81,4
226,Olfr1255,1.4479380049754342,3.79634023041136,uOR,2.0,2.5,Low Stress,-1.1966641472702877,Or4c12b,4
227,Olfr1256,-4.562075159672681,-0.9759324106947836,uOR,2.0,4.5,Low Stress,-1.5848226120518492,Or4a47,4
228,Olfr1257,1.4858598611935658,-9.135792417753132,oOR,2.0,4,Low Stress,-0.4000196401720575,Or4c10b,4
229,Olfr1258,-5.853243776097451,-5.872878976921871,uOR,2.0,2.5,High Stress,0.5280012621175985,Or4c10,4
230,Olfr1259,1.1875209958524406,4.722665833320008,uOR,2.0,2,High Stress,0.2140488164578327,Or4c12,4
231,Olfr126,5.830994224137975,-6.569627032580458,,3.0,4,High Stress,0.3182477504219679,Or14j5,14
232,Olfr1260,-1.509822049920285,-5.038460894356148,uOR,2.0,5,Low Stress,-0.8375662248640025,Or4c35,4
233,Olfr1261,-2.21311233432478,-1.3754894177950994,uOR,,,,,Or4c126,4
234,Olfr1262,-3.844671550362238,-4.952446896135569,uOR,,,,,Or4c127,4
235,Olfr1263,-2.21311233432478,-1.3754894177950994,uOR,2.0,4,High Stress,0.0360801293411712,Or4c52,4
236,Olfr1264,5.641164165846051,0.6481125606167705,uOR,2.0,4.5,Low Stress,-1.723184308116239,Or4c3,4
237,Olfr1265,8.127929355541822,-2.224058708815363,,2.0,4,Low Stress,-0.3164050488118746,Or4x11,4
238,Olfr1269,-2.333314894954328,-6.577178481290473,oOR,2.0,2,High Stress,0.053957406926137,Or4x6,4
239,Olfr127,1.0923938101235722,-6.773073848491256,uOR,3.0,4,Low Stress,-0.6873539954381752,Or14j6,14
240,Olfr1270,-2.3117095402201966,0.3070554917176096,uOR,2.0,2,High Stress,0.570686306253199,Or4b1,4
241,Olfr1271,-2.2553244501732856,1.1316606395988882,,2.0,3,High Stress,0.9177581698588824,Or4b12,4
