,PCA_1,PCA_2
Or6A2,-1.4899211,0.09049197
Or8B39,0.28036404,-2.0256705
Or1J16,-2.5118415,0.57511127
Or8G33,1.669292,-1.4580392
Or8K37,-2.3244982,0.5753704
Or51S1,-1.1055173,0.4010039
Or4P20,2.5997872,-0.18537253
Or10Ag58,1.9751168,1.2939813
Or8H9,-1.316532,-1.8959522
Or4A47,1.6416126,-1.6116678
Or9S13,2.1037827,0.49802634
Or4C11,0.69655406,-1.2831241
Or7G12,0.42885587,-2.3180866
Or7A39,-0.5910699,-1.3847494
Or5B111,-0.09036433,2.2987745
Or13D1,-1.284685,3.4818413
Or5Af1,1.5401812,0.33606339
Or1E19,-2.5122855,-1.060836
Or6K2,0.43831223,1.2312926
Or6C214,-2.3280432,1.4256095
Or6K14,0.9401246,-1.5697725
Or8G30,-1.4034492,-2.3896422
Or4Q3,2.2404363,-0.7980627
Or4A15,1.9685555,-0.8956529
Or4C123,1.7018833,-1.0056581
Or5P61,0.6961415,1.378645
Or2Ag16,0.6312302,-0.3102119
Or9G4B,1.4123129,-0.7520627
Or7G27,-2.7983265,-1.0853561
Or4D11,2.8203564,-0.764744
Or52X1,-1.1991082,-0.15775894
Or10P22,1.6936883,1.2157024
Or6Z6,0.95259166,0.7705045
Or2A14,-0.9389004,-1.2753814
Or4P8,1.9939277,0.014878395
Or12J2,-2.1082237,1.419409
Or5W12,1.8183174,-0.8372378
Or2N1E,0.6414261,-0.4324671
Or4A78,2.528528,-0.77417475
Or8G23,-1.2553252,-3.2686455
Or8G26,-1.5908809,-2.848241
Or5B24,0.96510166,1.3216507
Or10Ag56,2.3995621,1.8256327
Or4K40,-1.8874571,-1.594975
Or2Y17,0.6579403,-1.5550003
Or5H22,-0.0017274594,-1.7855796
Or5P57,2.386317,0.30036253
Or4D2B,1.8889227,-1.3022355
Or2Y1,2.8004608,0.82233196
Or2A25,-1.9679981,-2.8098917
Or4C12,2.5213463,-0.27122194
Or7G20,-3.6695993,-1.599085
Or2Ak7,-0.08995726,1.2158781
Or9I1B,0.04507237,2.6036477
Or5D40,0.7514014,-0.20121685
Or51A8,-0.60650957,1.0120991
Or4B1,1.6181289,-0.65817106
Or8B43,-0.16714457,-2.9172058
Or4K42,2.4808495,-0.6689765
Or5G26,-2.0206506,1.2208846
Or10A3N,-2.1758535,-2.2247312
Or2A54,-2.094773,-1.3433993
Or52Ab2,-1.142253,1.2677791
Or7E166,-1.4088056,-2.7086005
Or4C120,1.5967844,-1.1484886
Or10V1,0.94039875,0.3646433
Or5Au1,1.4495507,2.3419135
Or6C2,-2.901067,2.6602812
Or12K5,-0.63916624,2.152517
Or2B2,2.5952647,0.7196319
Or1O3,-1.5394359,-0.4983508
Or2Z8,2.5288155,1.8350548
Or5H26,0.30462554,-0.6973455
Or6C66B,-3.233707,-2.12755
Or3A1B,-0.17302135,1.709832
Or2O1,-0.18039522,2.5514114
Or7G22,-2.5788608,-2.203835
Or1Q1,0.7247176,-1.6609702
Or5P62,0.8395044,2.5242484
Or9A4,-3.1100624,-0.8493565
Or8C11,0.028741505,-0.2718595
Or5D47,-1.8067632,-0.15937236
Or4C1,2.630869,-1.3201939
Or11G27,0.8878957,-0.53998
Or8W1,1.6932899,-1.1053759
Or7G34,-3.089386,-2.3570683
Or5P68,0.6237941,3.1202333
Or4P7,2.6223671,0.12492829
Or5G29,-0.3472334,2.3499033
Or5B113,-2.0913548,1.3396697
Or8K32,-1.7694286,-2.1622906
Or4D6,2.0361998,-1.0221584
Or8B12C,1.092183,0.6993193
Or2D3,2.4915187,0.88427806
Or10W1,-0.7039264,0.5398315
Or12K8,0.93844515,0.5480411
Or4A77,2.7849352,-1.3387599
Or6C76B,-1.1034113,-0.4031396
Or13G1,2.3562658,-0.40394258
Or5V1B,-2.220889,2.6698248
Or5H17,1.7225885,-1.3620099
Or1J1,-2.1834614,-2.0404816
Or10A3M,-3.0900455,-2.1370254
Or52D13,-0.65085924,1.462705
Or5P80,2.0400262,2.0695288
Or9A2,0.075449534,-1.4755416
Or52A5,-2.6644113,1.0789458
Or9S27,0.09390625,1.2218012
Or1E17,-0.9839715,0.010241577
Or6K4,2.8561075,0.5679088
Or2Y1C,2.8564506,0.6876319
Or14C43,1.3309083,-2.244275
Or4A81,2.4523284,-0.37087673
Or13L2,1.4859625,0.70346427
Or6C8,0.65817595,-0.8153237
Or5A1,0.7164967,-0.054512423
Or5B96,-2.214835,2.6125076
Or2A56,-0.58201885,-1.3750048
Or8K25,-1.7359778,-0.78676546
Or2Ag12,-0.15077281,-1.368893
Or5K17,0.42041343,-0.71967316
Or4G17,2.2391179,-0.54692334
Or5B124,2.339786,1.3921286
Or10Ak13,0.6162086,-1.2808998
Or7C19,-1.8253341,1.6505772
Or4A74,2.8121095,-0.76054054
Or6B3,1.6913965,-1.803412
Or13A1,-0.16399759,1.4196938
Or5D36,-0.6793677,-0.044814378
Or5C1,1.985716,-0.39917904
Or52B3,-1.9637401,0.4012058
Or6C216,-4.2338204,0.31057525
Or3A4,2.13498,1.361222
Or4A76,2.5640259,-0.9544793
Or4C31,2.6438737,-0.4305527
Or4F60,1.6382501,0.70410734
Or8B55,0.6315475,-2.6346476
Or52Ab4,-1.6902026,1.9817814
Or8G17,-1.3848463,-0.3685795
Or8B37,-0.4609415,-2.2940388
Or8D4,0.95314556,-0.6681323
Or1E35,-1.838426,1.6542534
Or2Y1G,2.6551378,0.35557225
Or51G2,-1.4401766,-0.35231653
Or5D37,0.08036821,-1.6653728
Or5T7,2.2066765,1.9431552
Or12E9,0.098462045,-1.8721558
Or5B122,-2.2984288,-1.4098698
Or5P72,-0.075787514,3.0006764
Or2Ag1,-0.05651568,-0.8630125
Or4F58,-0.6442893,0.55544436
Or51D1,-0.27072552,-0.92062986
Or56A3,-2.7681189,-0.15177992
Or8B41,-0.83372855,-3.0063822
Or8B1C,2.3303154,-1.1561527
Or5D16,-1.0769159,-2.8735797
Or1L4,1.4155757,0.5716979
Or5Al1,0.010050421,-0.4040519
Or51H1,-2.4881108,0.2234276
Or2Y14,1.6413668,2.396954
Or52N2B,-1.1691818,-1.3207741
Or4C11C,1.2482824,-0.39827344
Or4C121,1.7391833,-0.923483
Or2Y15,2.9941614,0.4521549
Or13P3,1.4597384,-2.3551052
Or2Y12,2.5901875,-0.027559659
Or52H7,-3.608221,-0.7696751
Or2Aj5,2.279908,0.4481037
Or51A39,-1.4652029,0.5232122
Or52K2,-2.949799,1.8796568
Or4C107,-0.49380285,-0.9340316
Or6C6,-1.6206801,-1.4171158
Or52Z13,-2.2060156,0.711413
Or4K37,-2.2526484,-0.012150192
Or5An10,-0.0051885284,1.829385
Or55B4,-0.4893925,0.24834892
Or8G37,1.5937035,-1.5070013
Or5J3,0.66481847,0.62671787
Or2Ah1,1.8373876,1.7528278
Or9I2,1.4851441,1.6767776
Or8K40,-1.2217913,-0.9321536
Or14J3,1.3659424,-0.121807754
Or2Y10,2.928975,0.9240522
Or8K21,0.90525806,1.1107279
Or5Aq7,-0.094802134,0.47874856
Or10Al3,1.4570119,1.5233253
Or5T17,2.1165493,0.95591104
Or2B28,2.4373984,0.02396577
Or5Bh3,-0.27417216,0.31520855
Or6D14,-3.302442,-0.7157855
Or8K39,-1.9223924,-1.6888287
Or6Z7,2.4649549,-0.13646056
Or5B98,-2.3700998,0.120675
Or8D6,1.918221,1.5344414
Or4L1,0.18269295,-1.0378933
Or10P1,1.0542176,-2.2636929
Or4K15B,0.41224137,-2.22756
Or2H15,2.8515396,1.2478921
Or52R1,0.79181975,0.922904
Or2Ad1,1.1459237,1.1695229
Or7A37,-1.985079,-2.6529493
Or4F57,0.43227974,-0.059732497
Or10Al4,0.7636609,2.1170602
Or8S8,2.5309289,-0.47481143
Or1B1,1.9463089,-1.5613167
Or5B97,-2.4023006,1.9151622
Or4F15,-0.28592828,0.309061
Or6C210,-3.6539457,-1.2892141
Or9G3,-0.15838441,1.3007616
Or2L13,0.4503276,-0.7479428
Or1O2,0.25074676,-0.45508143
Or13P10,1.6499617,0.9864179
Or5Ac20,-1.5610482,-1.4345058
Or52N5,-1.2848737,-1.7481835
Or6C69B,-2.3791785,1.560253
Or6D12,0.58890593,-1.4155788
Or8K28,-2.3741302,-2.000036
Or8K16,-0.19323277,1.7452513
Or14J1,0.38698542,-1.7290828
Or7D9,-3.1059766,0.40353537
Or11H4,2.958706,0.09831284
Or5W19,1.463325,-0.7358454
Or6C215,-1.6563717,-2.0006485
Or5P55,1.8198805,2.1719496
Or7E174,-2.244143,-0.44924745
Or5Aq1,1.992497,0.19786637
Or4C35,2.4862006,-1.2124007
Or4N4B,0.9748813,0.4217228
Or4K2,0.9323651,-0.8283707
Or2F1B,-1.0382394,-1.3758909
Or6C2B,-2.209747,1.9517093
Or2At4,-2.720607,-0.29226255
Or8B38,0.5151459,-1.6898189
Or10U4,2.2732444,0.82346296
Or1J13,-1.774462,-2.3192658
Or8U9,-2.0790703,0.5925206
Or52E5,-2.330736,0.8024702
Or4C106,2.454849,-1.8025608
Or11H23,1.5358609,-0.49796316
Or51F1E,-2.0312965,0.8186685
Or1O11,-0.78569335,1.0194528
Or8K22,-1.750323,-2.4987931
Or8B4,-0.8442632,2.1388788
Or8S16,1.7571666,-1.7135328
Or5W1,0.034574445,1.0076358
Or8G19,-1.8676156,-1.6575764
Or8U10,-1.9125386,-1.6755255
Or8K30,-2.7296693,-0.7151011
Or4F61,-1.7850146,-0.2103535
Or1S2,-2.0786805,-0.22787137
Or2B11,2.7304783,0.39834502
Or56B2,-1.6543449,1.0455254
Or9I14,-0.2627915,1.3740185
Or5As1,1.9891486,0.88882494
Or4C58,2.7869954,-0.1286916
Or9S14,2.3952744,0.47157976
Or4F47,1.5068175,0.5625228
Or52A24,-2.701719,-0.9184856
Or4F59,-1.4392185,-0.7300445
Or4B13,-1.7478143,0.8323437
Or2N1B,1.056943,-1.1319982
Or56A5,1.3999782,0.5458139
Or8G28,-2.5749295,-1.4646074
Or11Q2,0.5933119,0.20621154
Or51A5,-2.1229522,0.120553315
Or6C1B,-1.9992244,-1.6729562
Or1P1C,0.5247199,0.42999536
Or52J3,-2.6100736,0.31555903
Or8G2,-2.4627523,-3.304341
Or8K18,-0.41242048,-2.3367052
Or5Al7,0.16962722,-1.8631164
Or4A80,2.5814464,-0.18801312
Or10A4,0.06800886,-0.30790982
Or6D13,0.30345637,-0.74684995
Or7H8,-1.3000302,-0.6176037
Or5Be3,-1.4571348,-0.018215174
Or2Ag20,1.1060163,1.9790411
Or5D38,0.80385673,-1.7982582
Or2G25,2.5368602,1.0908687
Or8C10,2.1149764,0.8328751
Or10A2,0.5926338,2.1163144
Or52E7,-4.7098684,0.15500732
Or1O1,-0.12096033,0.45644742
Or2A12,-0.40238845,-2.0214117
Or6C68,-3.8737526,0.5889691
Or4C117,2.2906673,-0.60258836
Or7C70,-0.14736956,2.8590806
Or4K49,2.3090892,-0.6690532
Or10B1,0.81917965,0.36071223
Or52D3,-2.4513712,1.0494691
Or5Ak20,-1.2202863,2.1120887
Or10Al5,1.5080839,0.5848166
Or1E25,-2.4660866,-1.9312054
Or5M11B,0.56476057,0.89232826
Or5W16,1.143141,-1.5891881
Or5P76,-1.0784078,2.9276867
Or11G2,-0.45589578,-2.327218
Or5B120,-2.1829624,0.4784303
Or8D2B,1.2659702,-2.0805259
Or52E8B,-4.068298,0.6245174
Or4E1,2.4228983,-1.033522
Or11A4,2.0870895,-0.04974364
Or10Ag52,0.43101537,-2.0085313
Or7E177,-0.98313856,2.400345
Or1J18,-0.9007989,1.7483078
Or6Z5,1.1160291,2.704557
Or5B99,-2.189376,0.35273764
Or2V2,-1.535373,1.8876028
Or6C5,0.13186996,0.079552405
Or2Ak6,2.3196917,0.7567918
Or52S6,-0.86765426,1.2148541
Or5H23,0.1908066,-0.6024869
Or9K7,1.468375,1.1104796
Or6C217,-3.7770255,-0.31250924
Or8B57,1.3293378,-1.4893461
Or2Ag1B,0.63600475,-0.73936516
Or4E5,1.9206923,-0.31369722
Or8B36,0.9155832,-2.7624466
Or4P23,0.9920685,-1.0603774
Or4F53,1.1838591,0.15046969
Or5M13B,-2.7255795,-1.1156355
Or51Af1,-0.5569194,1.4572964
Or1E1F,-2.4090502,0.34006634
Or12D13,-0.783,2.020656
Or5P79,0.1901033,2.6420813
Or10G3B,0.63134986,1.143896
Or10V9,0.6934261,0.83032364
Or4K41,-2.2815056,-0.57582235
Or4A66,2.4730287,0.5798573
Or5M9,-2.3193214,-1.186403
Or8B42,0.33088222,-3.314494
Or5B102,-0.9221333,2.0419388
Or10Al6,-0.7410458,2.392394
Or6C206,-0.5439048,-1.8589414
Or12K7,0.96624124,0.11077519
Or14J7,1.1396023,-0.19219999
Or10G1,-0.4408135,0.35427403
Or10G9,2.166303,-1.359907
Or4A68,3.0511358,-0.61248565
Or51Q1,-1.9937025,1.4466063
Or13A19,-0.60139143,0.9833073
Or2T6,0.8848798,-1.783024
Or5B94,-0.58195174,2.0788665
Or51Ai2,-3.3929064,-0.03687586
Or6C75,-1.2563825,-2.3750803
Or10Ab5,1.4650565,0.20276612
Or4E2,-2.011007,-1.7818639
Or14C45,2.0162954,-2.1638794
Or1F12,-2.1212802,-0.87644875
Or13A22,1.7990794,1.6446291
Or7E165,-1.259486,-3.2168095
Or6C201,-2.3462496,0.8064244
Or4X13,2.0548,-0.88312185
Or9R3,1.4359751,1.2037297
Or12E7,2.6100352,1.6663831
Or11J4,1.6505473,-2.2496057
Or9Q1,2.1009645,0.82046163
Or4K5,2.227703,-0.9842432
Or2J3,2.4494672,0.3322975
Or5K1,1.6159706,-0.5004044
Or8G20,-0.61117315,-2.838906
Or5B123,-2.0099154,-0.8469229
Or2Av9,0.21544735,2.229889
Or5K3,2.3306475,-0.1874034
Or5B116,-0.5041982,2.419103
Or1E34,-1.4115443,-0.8322611
Or13A28,-1.5575672,0.5559483
Or10J3,2.407409,1.124033
Or13J1,-2.6997302,2.636749
Or5P59,-0.48080388,3.2490847
Or7G28,-2.8523567,-2.2545729
Or2T1,0.44716847,-0.6185405
Or4S2B,2.5868006,-0.13246231
Or10Ab4,0.7494543,0.47366127
Or1Ab2,-1.7866929,-2.155251
Or14A258,-0.21587028,-1.34345
Or5Ac17,0.9177866,0.45356774
Or2W1,-0.72414386,1.8386933
Or5P81,1.9335977,1.4563496
Or4D10,2.2896612,-0.55556977
Or5An1C,-1.1581876,0.9104279
Or52Ad1,-2.1139212,0.66582304
Or8J3,2.076453,0.10775871
Or52S19,1.0168583,1.017219
Or5K16,0.227511,-0.15496951
Or2T48,2.3566637,-1.5046031
Or10Ad1,0.20751278,-0.4022341
Or10G1B,-1.1315923,0.19486625
Or13A24,-1.3683339,1.927039
Or52P2,-1.3630929,1.5352296
Or10D1,-0.6201757,0.61763144
Or10N1,0.44749707,-1.3908793
Or4B12,1.3452944,-1.0204359
Or14A257,0.49789742,1.5323184
Or5Ac24,-0.15573585,-1.6315666
Or1J15,-1.3892275,1.9070673
Or10Ag53,-0.113499165,0.35931095
Or51K2,-2.108713,1.407739
Or52Z12,-3.6812277,1.1909475
Or8B49,-0.9090336,-1.8539451
Or8G24,2.3346388,-0.88018787
Or52E18,-4.3829303,-0.33653593
Or2Y6,2.6453059,0.49055216
Or52H2,-2.99393,0.85867435
Or10D5,-0.3326062,1.7393724
Or5D18,-1.060501,-0.113320544
Or52R1B,-1.7975241,0.5092287
Or12J5,-1.5545686,-0.67799884
Or8K17,-1.037548,1.2989448
Or10D4,-0.16121092,1.5417771
Or1X2,-2.0785584,-0.030744027
Or52N4B,-3.2126706,0.79004353
Or5B95,-0.42416683,3.0911474
Or5W13,0.15258244,-1.3456748
Or5G27,0.57905394,1.3435079
Or4F6,0.7327082,1.5784824
Or5P60,1.3610309,2.1019745
Or5P73,1.3726957,1.1964753
Or51F1,-2.120724,0.66589296
Or51A10,-2.3101122,1.5435623
Or8C13,-2.5200114,-2.0645187
Or2Aj4,2.1268752,0.102112465
Or10Ak9,-0.2326196,-1.4537243
Or5P70,0.24979413,2.1641824
Or1O4,-1.9162256,0.89791894
Or14C46,1.4422656,0.78181076
Or2W2,2.6588545,0.37990215
Or7E178,-2.7944329,-0.6095381
Or6C35,-3.7600842,0.34134963
Or13A26,1.5581281,1.9248481
Or51V14,0.7161742,1.5323763
Or1E22,-2.2446077,-0.080892965
Or8G55,0.21501637,1.4411888
Or1X6,-2.8053896,0.11155188
Or9G4,1.3847437,1.1169618
Or4K6,0.99171793,0.20418997
Or7A38,-0.9993341,-3.1305563
Or52M1,-3.006649,2.110481
Or5P51,2.4220448,2.229143
Or2Ag17,-0.19100773,-0.094657876
Or12D2,1.7728428,0.15026516
Or8A1,-1.4220914,-1.7761915
Or13N4,2.0359344,-0.7409128
Or4A39,1.3936037,-0.93269026
Or8B12B,1.4787251,0.21786515
Or10J5,1.664412,0.66332495
Or2M13,-1.8479284,0.730798
Or52N20,-4.226866,0.38399354
Or10H1B,0.6263119,-1.1151713
Or11G1,1.60074,-1.713141
Or1E21,-2.3108654,0.98183906
Or10G6,2.2740073,-0.5142998
Or52Ac1,-3.5489256,-0.010082784
Or13P4,2.8499181,0.9614402
Or10X1,-0.23288138,-0.6483351
Or5D39,0.02792508,-2.0034404
Or2H2C,1.2733734,-1.6884679
Or14J4,-0.13629007,0.32721364
Or7G33,-3.1011174,-1.812963
Or6C5B,-2.019247,0.71036464
Or51V8,1.4455402,-1.0930958
Or5T9,1.9133054,0.5907724
Or6N1,2.5157316,0.7814027
Or10Am5,-1.1383686,2.7540529
Or4B1B,1.4977441,-0.14451371
Or2T49,2.112515,-0.96385914
Or51B6,-0.5569705,1.4505024
Or7E175,-2.139611,-2.1558886
Or51Aa2,0.3156243,-0.25166026
Or6C204,-2.6656547,0.87408143
Or4C29,2.418492,0.4459393
Or8C8,-0.8753881,-1.9800525
Or5B121,-1.3441918,2.1219683
Or51B6B,-3.0442088,0.6046031
Or5M3B,0.9449769,-0.094265364
Or10A3,-1.9370847,-2.874995
Or6B9,-2.0478218,-1.4196011
Or5B12B,-1.2942045,0.31215706
Or2Y1B,2.739446,0.31562945
Or2G7,2.5759692,0.9704353
Or3A10,-1.2849088,1.2388209
Or7E169,-1.5939659,-3.2362905
Or6C65,-2.8314059,2.3190536
Or7G29,-2.7855139,0.38462043
Or5M5,-0.74700654,1.7059246
Or8G27,-1.7316617,-0.9021168
Or8H8,0.40131325,-1.9153345
Or4C113,1.9745355,-0.89076453
Or5G9,-2.0760841,0.75409955
Or6C5C,0.08722476,-0.3077989
Or4C10,2.3551412,-2.076852
Or6Z3,2.3477685,-0.43969503
Or5P52,2.07604,0.11560672
Or5J1,2.1295257,0.21030264
Or52L1,-3.1457887,-1.8306024
Or8K53,-2.3508382,1.4045329
Or5T16,1.5129687,1.1442229
Or5B101,-2.8607757,0.21755706
Or8B3B,1.7320145,-0.76086354
Or1J17,-2.6356714,-1.1173141
Or52S1B,-0.16292757,1.9705364
Or2N1,2.1978242,-0.5552496
Or8G2B,-0.45091373,-0.1184725
Or1L8,-0.027747197,2.6750915
Or5H19,1.2018248,-1.5455875
Or9I16,1.1823461,1.9827067
Or13A17,-0.26814625,2.4108627
Or5K14,2.0896778,0.25354126
Or5P58,1.6375151,1.8769122
Or5Ac19,0.46386427,1.4360195
Or8B46,1.8567905,-0.76179016
Or4C3,2.5805874,-0.09171488
Or5P53,2.24239,-0.11511764
Or52A5B,-3.2337234,1.0890092
Or10D3,-0.88625646,1.7755468
Or52Ab7,-1.5888746,1.1572982
Or2B7,1.0709057,0.4947743
Or1Af1,-0.16972907,-2.069905
Or1J10,-2.1418262,-2.0445557
Or2V1,-2.0097375,-2.9088745
Or7G25,-2.4242208,-2.1690962
Or12E1,1.8545021,-1.4027224
Or1J12,-1.8593416,1.8323642
Or5P67,1.7531698,1.6459488
Or4G7,2.3892853,-0.5664492
Or2T26,2.0823984,-0.9501994
Or51G1,-1.9603844,0.162135
Or6X1,-0.39588436,-0.51484334
Or12E10,2.5990925,0.42717612
Or52E2,-3.6248343,0.5961693
Or4C108,2.1424727,-0.3343769
Or8B101,0.28143752,-3.2008932
Or4K15,0.30225307,-1.744647
Or2D2,2.0670152,0.57820064
Or7D11,-1.8473514,-2.4062338
Or4K36,-1.1090434,-1.6595266
Or2Ag19,0.070914246,-0.16626763
Or10D4C,-0.5802969,1.282407
Or4C11B,2.185688,-0.044186726
Or56B35,-0.98462325,0.6556903
Or8B56,1.1033404,-2.330461
Or1N1B,-1.3854574,-1.2126513
Or4C52,0.1690053,-0.9841365
Or4K47,1.4581885,0.64458215
Or2L13B,0.41427693,-2.0191724
Or5P5,1.7606285,2.2009785
Or52E3,-2.5949636,1.8621092
Or51B17,-0.12729178,1.5047674
Or4N4,0.02574475,-0.6188669
Or51F5,-1.3338554,-0.7633125
Or10Ag59,1.0855857,-0.98675025
Or6P1,0.029902669,1.1624107
Or12J3,-0.6422026,1.699898
Or8K41,-2.1073956,-2.2530053
Or1J11,-3.4293056,-0.2741149
Or6C74,-2.9184492,-1.516233
Or5An11,-1.8514069,1.2304833
Or6F1,0.47313434,1.9541093
Or5Ak23,-0.38575202,1.5833079
Or5D35,-1.1126151,-2.4834642
Or2At1,-0.2524259,1.5164903
Or8H10,-0.546452,0.40556863
Or5Ap2,0.35513806,1.3222823
Or9K2B,0.4036382,0.8291922
Or10A3B,-1.5844423,-2.0704198
Or51F23B,-0.088952,1.271235
Or10Ad1B,-0.17632858,-0.9318788
Or56B2J,-1.8571655,1.65734
Or8A1B,-0.10723681,-2.3940806
Or56A3B,-2.5627077,0.4660619
Or7A41,-2.7078202,-2.4915695
Or4F54,-0.011225754,-0.40555722
Or56B1,-0.17974104,2.1720738
Or5P56,1.444389,2.1437917
Or11M3,-0.35924578,-3.0325668
Or4K15C,0.97342134,-1.9553065
Or2T47,2.3686206,-1.173951
Or3A1,-0.3636732,0.9998247
Or7G16,-2.9219136,-0.8822672
Or52N2,-4.3869615,-0.60327715
Or10H1,0.56953347,-1.1135945
Or8K3,1.4351631,0.15130219
Or51Ag1,-2.5938215,1.3516337
Or4C116,1.1400361,-1.171533
Or51Q1C,-2.1019974,2.0562341
Or6C6C,-2.209268,-1.0759236
Or5W22,1.8188466,-0.2406603
Or5G23,-1.3086404,-3.2635386
Or6Y1,0.4036977,-1.7324592
Or10A5,-0.13547844,2.0664248
Or51F1D,-2.060024,1.0693477
Or8B1,2.5278432,0.2302057
Or8C17,-0.6907918,-2.6569917
Or13C7C,-0.3316777,3.0106647
