,PCA_1,PCA_2,family
Or2G1,12.997629,-4.805348,2
Or2G25,10.905312,-2.5268216,2
Or2G7,11.199117,-2.506415,2
Or2H1,10.683208,-4.529748,2
Or2H15,8.168301,-1.8918777,2
Or2H1B,9.045672,-3.190228,2
Or2H2,11.274109,-5.7657075,2
Or2H2C,8.126487,-2.4741347,2
Or2I1,8.3632555,-13.725908,2
Or2J3,6.3220363,-4.726261,2
Or2J6,0.47763777,1.1390718,2
Or2K2,-3.941451,-2.8696697,2
Or2L13,7.580321,-3.582999,2
Or2L13B,7.695583,-4.5607934,2
Or2L5,11.637468,6.590445,2
Or2M12,5.058517,-2.079547,2
Or2M13,0.78795815,0.8543491,2
Or2N1,6.2634172,-0.9744636,2
Or2N1B,9.291012,3.3606932,2
Or2N1C,10.38412,1.9161226,2
Or2N1D,7.683868,-1.0939571,2
Or2N1E,6.3652725,3.7068744,2
Or2O1,4.7344193,-1.0632674,2
Or2P2,1.4332769,-1.0247455,2
Or2Q1,4.5182576,-1.2176319,2
Or2R11,2.54402,-7.0248837,2
Or2R2,1.5953667,-5.069585,2
Or2R3,2.6510506,-4.4575205,2
Or2T1,3.2128327,-0.764698,2
Or2T26,11.140336,0.8040983,2
Or2T29,-3.7430472,-3.407729,2
Or2T43,0.27775323,-4.5097413,2
Or2T44,7.486432,-2.196451,2
Or2T45,8.867069,-3.7658355,2
Or2T46,-1.9703933,-3.6189594,2
Or2T47,-3.0923328,-7.4354897,2
Or2T48,-6.2965465,-5.233744,2
Or2T49,-3.3381662,-7.464662,2
Or2T6,12.111476,7.333734,2
Or2V1,8.820229,-7.425449,2
Or2V2,4.7710795,-6.1212287,2
Or2W1,8.361832,0.26106966,2
Or2W2,6.623938,1.6192316,2
Or2W25,8.770217,-8.193424,2
Or2W3B,8.4749975,-8.289032,2
Or2W4,9.295395,-1.6980022,2
Or2W6,12.193651,5.082693,2
Or2Y1,8.813554,-2.1623409,2
Or2Y10,11.782561,-2.6948156,2
Or2Y11,11.400028,-3.6665356,2
Or2Y12,11.232111,-1.6152343,2
Or2Y13,5.1850815,1.7571378,2
Or2Y14,6.8902893,-3.445637,2
Or2Y15,12.146916,1.662816,2
Or2Y16,9.654003,-7.1407437,2
Or2Y17,4.9587197,-1.0333439,2
Or2Y1B,12.836046,2.403093,2
Or2Y1C,9.5000305,1.8074259,2
Or2Y1D,10.410126,-5.826302,2
Or2Y1E,8.482037,-0.20210996,2
Or2Y1F,9.738205,-0.0982037,2
Or2Y1G,12.874522,0.14973943,2
Or2Y3,7.5141087,-0.7189844,2
Or2Y6,12.713255,-1.2813741,2
Or2Y8,12.153229,-4.135754,2
Or2Z2,6.482235,2.7218225,2
Or2Z8,2.031992,-10.844086,2
Or2Z9,0.9143765,-9.595648,2
Or3A1,9.129648,0.28165308,3
Or3A10,3.8020606,-0.025790067,3
Or3A1B,5.2215853,-2.5715654,3
Or3A1C,8.027931,1.6365236,3
Or3A1D,4.892455,-1.1844888,3
Or3A4,1.9981542,-5.826196,3
Or4A15,6.892079,17.862528,4
Or4A2,8.864471,14.916284,4
Or4A27,8.949362,5.563382,4
Or4A39,6.1854453,15.039402,4
Or4A47,4.668292,15.668416,4
Or4A66,9.323936,7.482508,4
Or4A67,8.332506,6.3435907,4
Or4A68,8.133451,16.906712,4
Or4A69,11.542709,9.949348,4
Or4A70,3.7792137,12.685143,4
Or4A71,3.1995008,14.705002,4
Or4A72,9.07946,18.318016,4
Or4A73,0.41882482,14.989446,4
Or4A74,5.358907,12.940763,4
Or4A75,7.8891897,19.029194,4
Or4A76,10.025045,14.642496,4
Or4A77,7.730975,17.452274,4
Or4A78,10.622363,14.254322,4
Or4A79,7.261187,14.609173,4
Or4A80,10.132455,16.19098,4
Or4A81,7.283594,11.25659,4
Or4B1,6.8808556,13.800912,4
Or4B12,8.170421,15.246351,4
Or4B13,3.9901218,16.74342,4
Or4B1B,6.6232595,15.35841,4
Or4B1D,6.6170373,17.670599,4
Or4C1,9.875849,10.055129,4
Or4C10,9.245622,16.731667,4
Or4C100,9.572644,19.961016,4
Or4C101,8.702684,14.039347,4
Or4C102,6.5268126,10.768407,4
Or4C103,-0.8482862,17.015947,4
Or4C104,5.200723,16.174486,4
Or4C105,8.771237,17.451609,4
Or4C106,9.539495,15.849312,4
Or4C107,3.7793045,13.563867,4
Or4C108,7.287441,20.951925,4
Or4C109,7.0854487,14.830339,4
Or4C10B,5.63479,18.79206,4
Or4C11,6.1016483,15.794969,4
Or4C110,6.489923,10.618985,4
Or4C111,8.487045,9.733688,4
Or4C112,5.7099805,16.58223,4
Or4C113,7.1896415,8.480091,4
Or4C114,8.369786,13.952459,4
Or4C115,4.0785303,14.693838,4
Or4C116,5.555149,9.793307,4
Or4C117,0.067522295,14.824445,4
Or4C118,2.673422,9.056991,4
Or4C11B,7.131737,18.747051,4
Or4C11C,5.981318,17.191679,4
Or4C12,8.009667,16.345327,4
Or4C120,1.885408,16.992031,4
Or4C121,5.064993,12.05636,4
Or4C122,3.132907,13.008226,4
Or4C123,7.535849,7.8039203,4
Or4C124,10.32114,11.96687,4
Or4C125,7.82277,13.473699,4
Or4C126,5.531943,11.746974,4
Or4C127,5.920476,9.644696,4
Or4C12B,6.0295424,13.595584,4
Or4C15,6.7626863,15.872084,4
Or4C15B,9.444931,12.469459,4
Or4C29,9.058013,19.561491,4
Or4C3,4.9069357,8.163972,4
Or4C31,9.054807,25.936129,4
Or4C35,9.404975,15.16315,4
Or4C3D,8.323871,9.364424,4
Or4C52,3.752008,10.211497,4
Or4C58,5.978231,18.252481,4
Or4D1,7.3723655,8.865312,4
Or4D10,8.7637,9.413766,4
Or4D10B,7.5377307,8.894624,4
Or4D10C,7.175365,7.8656297,4
Or4D11,9.07506,8.237585,4
Or4D2,10.377818,4.722424,4
Or4D2B,10.865678,3.8916006,4
Or4D5,9.231563,6.634651,4
Or4D6,12.416548,10.373249,4
Or4E1,-0.5977435,14.313471,4
Or4E2,-0.25848565,10.280432,4
Or4E5,1.3374463,14.424683,4
Or4F14,3.546278,4.832841,4
Or4F14B,3.8212085,5.649651,4
Or4F14D,8.996827,6.3602858,4
Or4F15,7.572421,6.3930526,4
Or4F47,12.088255,12.37284,4
Or4F4B,11.149423,13.507697,4
Or4F52,5.813717,5.6297755,4
Or4F53,13.295751,8.565822,4
Or4F54,11.488892,6.857076,4
Or4F56,5.1871715,10.111252,4
Or4F57,8.46584,0.73601276,4
Or4F58,11.417141,8.4575815,4
Or4F59,1.6351401,2.329188,4
Or4F6,5.856793,12.729129,4
Or4F60,3.8933597,3.9024491,4
Or4F61,6.165784,8.355031,4
Or4F62,13.258305,12.554437,4
Or4F7,12.11419,1.3335041,4
Or4G16,8.098158,10.872917,4
Or4G17,3.9705539,11.438806,4
Or4G7,7.2194924,10.812119,4
Or4K1,-1.9196571,4.8348556,4
Or4K15,2.6463082,9.748623,4
Or4K15B,3.8227093,10.3112545,4
Or4K15C,4.952017,12.573905,4
Or4K2,-4.249415,9.930337,4
Or4K35,6.563373,11.381481,4
Or4K36,4.965409,10.330192,4
Or4K37,4.0049133,7.02523,4
Or4K38,8.723873,11.151058,4
Or4K40,6.5000224,6.0735483,4
Or4K41,-1.4634088,6.2952805,4
Or4K42,4.9410367,9.81524,4
Or4K44,4.2586627,12.744617,4
Or4K45,2.1692255,11.241965,4
Or4K47,2.09299,10.083534,4
Or4K48,1.3769155,9.628028,4
Or4K49,6.6665554,8.569047,4
Or4K5,2.918379,11.496966,4
Or4K51,7.015876,13.125193,4
Or4K52,4.985794,9.764133,4
Or4K6,2.4577806,8.813909,4
Or4K77,5.5433826,6.608342,4
Or4L1,5.2916617,8.944442,4
Or4L15,6.3969617,10.786624,4
Or4M1,5.8749857,13.745366,4
Or4N4,13.828411,8.978411,4
Or4N4B,10.525361,12.597409,4
Or4N5,10.389279,9.752883,4
Or4P18,3.8523333,12.506827,4
Or4P19,4.243371,12.827561,4
Or4P20,7.603595,21.765713,4
Or4P21,3.9636037,16.44787,4
Or4P22,6.105716,14.864817,4
Or4P23,3.0021353,17.118078,4
Or4P7,6.569072,15.092341,4
Or4P8,2.0418859,18.956083,4
Or4Q3,0.430873,1.2743815,4
Or4S2B,3.8631585,26.929363,4
Or4X11,9.505547,19.638294,4
Or4X13,9.977872,16.694962,4
Or4X6,7.9807663,18.281315,4
Or4Z4,8.644464,6.28148,4
Or5A1,-1.7086307,0.7166131,5
Or5A3,-3.1616027,2.9934664,5
Or5Ac15,-4.817299,2.4677825,5
Or5Ac16,-2.6219587,-0.75060487,5
Or5Ac17,0.6490601,0.3877747,5
Or5Ac19,-1.0139787,1.8699442,5
Or5Ac20,-7.6552424,-1.9349364,5
Or5Ac21,-2.067226,5.0131187,5
Or5Ac22,-2.9828877,3.7961595,5
Or5Ac23,-4.90014,7.579229,5
Or5Ac24,-8.515764,3.9377851,5
Or5Af1,-3.8536506,2.492342,5
Or5Af2,-4.92021,-1.4101634,5
Or5Ak20,-6.694182,6.6713233,5
Or5Ak22,-9.054042,-0.043556534,5
Or5Ak23,-6.9381356,11.489838,5
Or5Ak24,-12.27295,14.774336,5
Or5Ak25,-18.465006,9.984917,5
Or5Ak4,-4.9328537,7.4833126,5
Or5Al1,-9.536361,-0.2980033,5
Or5Al5,-8.450293,5.231962,5
Or5Al6,-11.310704,1.9616866,5
Or5Al7,-15.477006,4.7146173,5
Or5An10,-16.671354,2.3622673,5
Or5An11,-14.440198,1.8242433,5
Or5An1B,-18.087885,-1.348219,5
Or5An1C,-16.466352,-0.245325,5
Or5An6,-10.487103,0.3244469,5
Or5An9,-15.859668,5.073823,5
Or5Ap2,-7.697783,5.9576845,5
Or5Aq1,-2.8472533,2.7983162,5
Or5Aq1B,-0.5715445,7.304145,5
Or5Aq6,-7.7470636,3.994771,5
Or5Aq7,-1.8625195,6.5763106,5
Or5Ar1,-7.837566,8.205723,5
Or5As1,-11.8424015,1.1458731,5
Or5Au1,-10.586733,-2.8877945,5
Or5B101,-18.29556,-2.2933214,5
Or5B102,-13.146256,3.5217156,5
Or5B104,-17.307383,0.19549829,5
Or5B106,-13.773065,-3.2497473,5
Or5B107,-7.557924,6.8957105,5
Or5B108,-15.906054,-0.78543454,5
Or5B109,-3.6468747,-2.233507,5
Or5B111,-12.852627,1.9361646,5
Or5B112,-6.600373,3.461771,5
Or5B113,-9.790909,2.6874483,5
Or5B116,-9.010153,0.59128267,5
Or5B117,-12.425022,4.9006853,5
Or5B118,-7.5923195,-3.4293413,5
Or5B119,-10.965846,5.7134695,5
Or5B12,-13.099306,1.3311737,5
Or5B120,-9.300709,-2.3058615,5
Or5B121,-8.47383,-0.82783616,5
Or5B122,-9.955829,-4.027178,5
Or5B123,-11.424199,-5.4180903,5
Or5B124,-11.040351,0.37225017,5
Or5B12B,-12.17042,2.6989157,5
Or5B21,-7.473592,8.074165,5
Or5B24,-4.127685,2.4842577,5
Or5B3,-13.340916,0.19684075,5
Or5B94,-7.7594237,6.1425076,5
Or5B95,-8.153914,2.5739677,5
Or5B96,-8.638759,-1.446182,5
Or5B97,-10.339113,-2.4619453,5
Or5B98,-10.364153,-3.6139762,5
Or5B99,-18.918543,-3.0285754,5
Or5Be3,-11.0972185,-6.0118237,5
Or5Bh3,-6.713292,-4.961732,5
Or5Bw2,-0.19513062,-5.6619062,5
Or5C1,0.6264873,1.4828876,5
Or5D14,-11.621518,-3.5114734,5
Or5D16,-12.246698,-8.565743,5
Or5D18,-11.160169,-0.99001557,5
Or5D35,-11.426491,-0.2664812,5
Or5D36,-13.470378,-6.3113523,5
Or5D37,-12.194948,-6.9712954,5
Or5D38,-12.868402,-5.5832715,5
Or5D39,-11.772799,-0.32124692,5
Or5D40,-4.7680683,-3.4159935,5
Or5D41,-14.1779,-3.1336977,5
Or5D43,-4.0196705,-5.9769087,5
Or5D46,-10.780605,-7.2795105,5
Or5D47,-9.327374,-1.5484492,5
Or5E1,-8.709284,0.85362077,5
Or5G23,-0.17304565,7.6616144,5
Or5G25,-9.011244,-0.6027968,5
Or5G26,-7.6965137,-1.7164301,5
Or5G27,0.7349218,4.1116385,5
Or5G29,-1.0109336,6.9994874,5
Or5G9,0.5511738,4.009391,5
Or5H17,-2.0149972,4.587367,5
Or5H18,0.269987,0.17161205,5
Or5H19,-2.782688,4.4641085,5
Or5H22,-2.0483482,5.124276,5
Or5H23,1.1260655,2.4762864,5
Or5H25,1.349097,5.973294,5
Or5H26,-2.2532442,2.2838268,5
Or5I1,-12.703548,6.369527,5
Or5J1,-7.112806,-1.8012424,5
Or5J3,-9.326513,6.890358,5
Or5K1,-2.8499248,13.138467,5
Or5K14,-2.8140204,6.9748883,5
Or5K15,-5.17386,7.835129,5
Or5K16,-2.804673,8.458242,5
Or5K17,-5.269217,2.9787178,5
Or5K1B,-1.365673,13.658731,5
Or5K3,-2.2255008,3.8622978,5
Or5L13,-15.761093,6.547592,5
Or5L14,-17.791746,-1.4350923,5
Or5M10,-3.694676,-1.5051147,5
Or5M10B,-6.767275,-2.9417317,5
Or5M11,-1.5300802,6.227157,5
Or5M11B,1.5647883,9.071373,5
Or5M12,-2.24566,7.9711547,5
Or5M13B,-0.57953393,11.899997,5
Or5M3,6.1424694,17.832407,5
Or5M3B,5.573245,17.991116,5
Or5M5,1.0221409,14.447957,5
Or5M8,-3.6434717,1.7489196,5
Or5M9,-0.32056177,9.522522,5
Or5M9B,-1.2426778,9.328346,5
Or5O1,-3.0548022,1.334147,5
Or5P1,-7.7479296,3.3269272,5
Or5P4,-7.0220203,1.3069575,5
Or5P5,-4.3597393,6.2508974,5
Or5P50,-12.128476,6.2586055,5
Or5P51,-13.004964,4.6674824,5
Or5P52,-11.272027,5.5401683,5
Or5P53,-8.582802,4.9693832,5
Or5P54,-13.465749,-0.5117427,5
Or5P55,-6.902642,9.183059,5
Or5P56,-6.577074,6.085831,5
Or5P57,-7.6213384,6.4543753,5
Or5P58,-18.44995,7.712733,5
Or5P59,-14.272097,1.5993505,5
Or5P6,-10.114731,10.901193,5
Or5P60,-11.208167,6.665091,5
Or5P61,-12.371653,4.3384695,5
Or5P62,-12.367479,7.8185577,5
Or5P63,-12.321979,8.731215,5
Or5P64,-10.268345,6.927391,5
Or5P66,-16.211908,6.3562346,5
Or5P67,-15.459457,10.282567,5
Or5P68,-15.682506,5.462607,5
Or5P69,-16.086302,4.4996824,5
Or5P70,-15.695732,2.1844537,5
Or5P72,-13.792279,4.917234,5
Or5P73,-17.812408,5.5034027,5
Or5P76,-11.521805,8.518014,5
Or5P78,-13.623978,8.465506,5
Or5P79,-16.0168,2.6942215,5
Or5P80,-8.632611,6.901913,5
Or5P81,-13.2260275,9.438323,5
Or5T15,-8.203282,7.507387,5
Or5T16,-7.693549,7.047704,5
Or5T17,-4.0729833,5.3302746,5
Or5T18,-5.8944607,9.211352,5
Or5T5,-7.0494814,1.3993865,5
Or5T7,-5.1336617,7.1287622,5
Or5T9,-6.2962337,8.716506,5
Or5V1,3.6884053,3.7321167,5
Or5V1B,2.3885026,4.530436,5
Or5W1,-8.859691,4.888842,5
Or5W10,-13.355357,-1.5207093,5
Or5W11,-8.753807,3.154809,5
Or5W12,-12.7477865,7.4067545,5
Or5W13,-10.7651205,-5.9644704,5
Or5W14,-15.210277,-3.2038531,5
Or5W15,-15.565864,-3.5677958,5
Or5W16,-14.013829,-1.7275307,5
Or5W18,-20.294846,2.2894156,5
Or5W19,-12.946156,1.5558617,5
Or5W1B,-9.458263,3.539958,5
Or5W20,-13.57427,3.7670445,5
Or5W22,-11.178545,3.9512527,5
Or5W8,-14.542242,1.8076552,5
Or6A2,7.53491,3.594509,6
Or6Aa1,-2.37596,6.115597,6
Or6Ae1,-3.4081256,-8.956342,6
Or6B1,4.8447456,5.9727764,6
Or6B13,4.71491,-1.2550833,6
Or6B2,0.73845863,2.9074132,6
Or6B2B,1.5606536,4.0085816,6
Or6B3,3.1335073,1.795335,6
Or6B6,0.43305117,6.0257125,6
Or6B9,1.797586,6.4067307,6
Or6C1,-12.279969,1.9411833,6
Or6C1B,-7.1092987,1.8426625,6
Or6C2,-5.3858585,9.293284,6
Or6C201,-9.816669,7.043347,6
Or6C202,-9.43112,11.5686035,6
Or6C203,-4.0341463,9.067452,6
Or6C204,-4.7243247,9.20235,6
Or6C205,-13.355023,3.400751,6
Or6C206,-11.239536,4.187802,6
Or6C207,-7.6819324,7.614697,6
Or6C208,-1.1003737,-2.978941,6
Or6C209,-4.088982,11.003922,6
Or6C210,-8.034743,9.7133045,6
Or6C211,0.5615436,-3.1438105,6
Or6C212,-2.7124176,-3.7756839,6
Or6C213,-1.9577433,1.3106602,6
Or6C214,-5.2731986,9.972224,6
Or6C215,-1.7946146,-4.3862333,6
Or6C216,-2.2714176,-1.8287404,6
Or6C217,-6.440006,0.12106024,6
Or6C219,0.5179233,-3.1208713,6
Or6C2B,-4.3795166,8.2359085,6
Or6C3,-5.172736,5.06806,6
Or6C33,-0.51347727,0.8418985,6
Or6C35,-4.3721986,11.356452,6
Or6C38,-7.861342,10.921657,6
Or6C3B,-4.9814415,7.6891537,6
Or6C5,-8.68136,8.267127,6
Or6C5B,-9.24571,0.34923127,6
Or6C5C,-8.895214,5.057044,6
Or6C6,-4.12037,-2.650058,6
Or6C65,-3.0050638,6.807134,6
Or6C66,-11.468952,5.643129,6
Or6C66B,-8.447033,6.121669,6
Or6C68,-7.099168,11.296145,6
Or6C69,-7.4657097,5.717335,6
Or6C69B,-5.476143,4.09581,6
Or6C69C,-8.569941,2.2378912,6
Or6C6C,-4.5751247,-0.77271694,6
Or6C7,-3.5049317,8.871172,6
Or6C70,-5.5216756,1.648078,6
Or6C74,-5.453621,-2.9529512,6
Or6C75,-6.1516385,-0.9809189,6
Or6C76,-10.802134,-4.538161,6
Or6C76B,-9.1626,-1.0985165,6
Or6C8,-5.0093565,1.6537256,6
Or6C88,-9.034877,9.591588,6
Or6D12,2.6834662,-3.667713,6
Or6D13,2.5073917,-1.6896819,6
Or6D14,1.3344259,-7.911995,6
Or6D15,-0.048595205,-4.9175158,6
Or6E1,0.7987407,6.370957,6
Or6F1,4.745872,-2.6542282,6
Or6F2,7.2105465,1.2541605,6
Or6K14,-0.76222,4.9251575,6
Or6K2,9.738876,2.8680947,6
Or6K4,9.590929,11.518271,6
Or6K6,8.152743,9.150265,6
Or6N1,9.291525,3.182526,6
Or6N2,6.976629,5.47299,6
Or6P1,10.045019,-0.9616706,6
Or6S1,4.830554,-0.8148984,6
Or6X1,7.8193855,4.2434273,6
Or6Y1,-2.2239215,2.7300303,6
Or6Z1,1.5827398,-4.4829407,6
Or6Z3,3.5072024,-3.3640835,6
Or6Z5,-4.1827397,-12.405382,6
Or6Z6,1.5583656,-4.4221525,6
Or6Z7,6.0463915,-1.263098,6
Or7A35,-10.10524,-17.351137,7
Or7A36,-8.001904,-8.4193,7
Or7A37,-6.417815,-2.8962796,7
Or7A38,-18.721941,-17.979658,7
Or7A39,-15.913581,-19.49224,7
Or7A40,-7.990164,-12.090949,7
Or7A41,-12.192616,-13.822971,7
Or7A42,-15.989555,-18.416914,7
Or7C19,-4.629024,-9.269009,7
Or7C70,-8.886184,-6.5117707,7
Or7D10,-6.923841,-9.054017,7
Or7D11,-8.167729,-12.12106,7
Or7D9,-16.252548,-13.618552,7
Or7E165,-12.228055,-10.533806,7
Or7E166,-10.9825325,-12.469306,7
Or7E168,-12.820057,-7.5066657,7
Or7E169,-14.6886835,-14.179992,7
Or7E170,-6.4854317,-12.241265,7
Or7E173,-10.835722,-9.125167,7
Or7E174,-13.76977,-14.258591,7
Or7E175,-13.867605,-6.868806,7
Or7E176,-13.240589,-5.8778687,7
Or7E177,-5.2035475,-3.1602345,7
Or7E178,-10.838063,-13.770656,7
Or7G12,-6.3920603,-4.0464716,7
Or7G16,-21.981533,-11.71351,7
Or7G17,-11.437225,0.022913774,7
Or7G18,-11.8259,-4.436403,7
Or7G19,-6.881632,-3.8938365,7
Or7G20,-14.487116,-8.520764,7
Or7G21,-11.1056,-3.9004502,7
Or7G22,-8.223944,-2.5698082,7
Or7G25,-16.257788,-11.667742,7
Or7G27,-6.9569435,-8.689136,7
Or7G28,-12.445432,-9.182001,7
Or7G29,-14.469133,-7.9023724,7
Or7G30,-11.688179,-6.897433,7
Or7G32,-14.673609,-12.329365,7
Or7G33,-6.0514073,-5.9886894,7
Or7G34,-10.064194,-10.185453,7
Or7G35,-17.14552,-9.455269,7
Or7H8,-12.055275,-9.409398,7
Or8A1,-17.646206,-2.5033343,8
Or8A1B,-18.193579,-2.4145205,8
Or8B1,-16.265335,0.5642623,8
Or8B101,-11.466819,-2.6567807,8
Or8B12,-8.893945,4.2614627,8
Or8B12B,-11.13581,2.0532143,8
Or8B12C,-12.289981,-0.41529262,8
Or8B12I,-8.692821,-8.344385,8
Or8B1B,-17.597765,-0.5145524,8
Or8B1C,-14.630532,5.2283893,8
Or8B3,-13.7221775,1.9661267,8
Or8B35,-10.970751,0.51945573,8
Or8B36,-11.826309,-1.37637,8
Or8B37,-7.876848,-5.7951016,8
Or8B38,-9.517114,-2.435383,8
Or8B39,-8.377547,2.786953,8
Or8B3B,-18.239119,1.8671477,8
Or8B4,-17.839777,-0.42748556,8
Or8B40,-5.459442,0.23607583,8
Or8B41,-7.493329,3.3765333,8
Or8B42,-10.461029,4.1596904,8
Or8B43,-17.412893,-2.7246306,8
Or8B44,-16.48154,4.8059597,8
Or8B46,-13.576501,6.78955,8
Or8B48,-15.407409,5.965708,8
Or8B49,-14.450202,8.760083,8
Or8B50,-16.742413,2.5375352,8
Or8B51,-19.940765,-1.2878116,8
Or8B52,-16.92188,3.8509269,8
Or8B53,-13.8157625,8.277515,8
Or8B54,-14.767996,3.55816,8
Or8B55,-13.616683,5.562509,8
Or8B56,-11.085945,5.991337,8
Or8B57,-11.214345,0.87438804,8
Or8B8,-13.289881,-2.8814788,8
Or8B9,-9.899579,4.6912956,8
Or8C10,-7.852286,-10.906025,8
Or8C11,-19.759151,2.5731535,8
Or8C13,-26.260574,-7.360168,8
Or8C15,-20.794792,-5.3501196,8
Or8C16,-16.547184,3.9494443,8
Or8C17,-14.741394,5.1997547,8
Or8C20,-21.582684,-0.6596161,8
Or8C8,-21.475227,0.898619,8
Or8C9,-10.406965,8.679441,8
Or8D1,-12.824863,-6.0436606,8
Or8D1B,-11.162667,-4.1421695,8
Or8D2,-12.650361,0.75497544,8
Or8D23,-9.97546,-3.4384232,8
Or8D2B,-11.08176,-3.357233,8
Or8D4,-8.779968,-0.7804448,8
Or8D6,-9.697095,-3.1506205,8
Or8G17,-19.38092,-1.3483276,8
Or8G18,-20.093151,-1.0689719,8
Or8G19,-17.883732,0.10669079,8
Or8G2,-13.45643,-10.488262,8
Or8G20,-11.032592,9.792922,8
Or8G21,-15.269964,-1.0286369,8
Or8G23,-11.146337,1.3027376,8
Or8G24,-17.953121,-1.1119314,8
