,PCA_1,PCA_2,Family,Class
Or2z2,-6.8476543,-7.6553736,2,2
Or2z8,-4.0975285,-22.148445,2,2
Or2z9,-1.711143,-19.422752,2,2
Or3a1,-16.696291,-2.594824,3,2
Or3a10,-9.774878,-7.1274486,3,2
Or3a1b,-11.801273,-9.644861,3,2
Or3a1c,-13.963562,-0.09262523,3,2
Or3a1d,-10.318149,-8.395236,3,2
Or3a4,-7.2834725,-13.695459,3,2
Or4a15,-5.235857,16.095194,4,2
Or4a2,-7.7451677,14.050683,4,2
Or4a27,-10.704878,-0.24805664,4,2
Or4a39,-4.700707,11.254648,4,2
Or4a47,1.3335656,9.598202,4,2
Or4a66,-10.859387,2.1781104,4,2
Or4a67,-11.519546,1.9355669,4,2
Or4a68,-4.312225,7.8100457,4,2
Or4a69,-11.440669,8.833535,4,2
Or4a70,0.48362282,7.1594067,4,2
Or4a71,0.99273515,12.422058,4,2
Or4a72,-4.932046,20.269028,4,2
Or4a73,5.192488,13.035399,4,2
Or4a74,1.8857043,8.562488,4,2
Or4a75,-2.6025229,14.019647,4,2
Or4a76,-9.59953,16.621588,4,2
Or4a77,-4.1866193,9.714889,4,2
Or4a78,-8.071417,13.52612,4,2
Or4a79,-5.436548,12.052728,4,2
Or4a80,-6.406863,14.593418,4,2
Or4a81,-3.6847193,5.791637,4,2
Or4b1,-6.3844433,7.2395554,4,2
Or4b12,-7.0382137,8.263784,4,2
Or4b13,-1.6359011,9.952936,4,2
Or4b1b,-6.821182,9.0446415,4,2
Or4b1d,-5.073998,11.265291,4,2
Or4c1,-11.424492,9.379018,4,2
Or4c10,-8.799462,13.9485655,4,2
Or4c100,-6.663606,14.11856,4,2
Or4c101,-6.089119,6.4984903,4,2
Or4c102,-2.7237415,7.041285,4,2
Or4c103,8.51242,12.544423,4,2
Or4c104,-2.4241047,11.620844,4,2
Or4c105,-6.2492795,11.876886,4,2
Or4c106,-9.019431,13.644258,4,2
Or4c107,-3.9679444,15.540148,4,2
Or4c108,-3.9529765,26.477198,4,2
Or4c109,-5.1621065,21.410486,4,2
Or4c10b,-2.8450809,15.670525,4,2
Or4c11,-4.6546774,16.338036,4,2
Or4c110,-4.268922,14.615485,4,2
Or4c111,-6.911146,11.8813715,4,2
Or4c112,-0.39323333,18.862478,4,2
Or4c113,-4.6759305,14.842915,4,2
Or4c114,-4.214858,17.462837,4,2
Or4c115,-2.7501976,19.603354,4,2
Or4c116,-5.0547543,17.324255,4,2
Or4c117,4.1099286,13.137389,4,2
Or4c118,1.2967005,14.800508,4,2
Or4c11b,-1.6297593,16.069351,4,2
Or4c11c,-3.6485078,13.518593,4,2
Or4c12,-6.72987,10.183801,4,2
Or4c120,3.3528786,20.989521,4,2
Or4c121,-4.335451,14.178267,4,2
Or4c122,1.8658097,12.584576,4,2
Or4c123,-4.9093404,2.7914507,4,2
Or4c124,-5.2641163,6.777084,4,2
Or4c125,-5.062921,7.0918283,4,2
Or4c126,-5.3233466,7.049129,4,2
Or4c127,-2.0710328,8.1620865,4,2
Or4c12b,-5.00196,9.516885,4,2
Or4c15,-6.55974,16.113472,4,2
Or4c15b,-8.27469,14.211246,4,2
Or4c29,-5.859001,12.733173,4,2
Or4c3,-5.021131,-1.4313879,4,2
Or4c31,-4.3630056,19.460527,4,2
Or4c35,-6.0977125,12.172128,4,2
Or4c3d,-9.29584,3.6800506,4,2
Or4c52,-3.1389675,2.1784072,4,2
Or4c58,1.6196094,14.078078,4,2
Or4d1,-8.167005,0.8250155,4,2
Or4d10,-7.574179,-0.61231786,4,2
Or4d10b,-9.926486,2.469985,4,2
Or4d10c,-7.2665367,-1.3521659,4,2
Or4d11,-8.866505,0.18881226,4,2
Or4d2,-8.984576,-7.734181,4,2
Or4d2b,-11.080691,-9.014897,4,2
Or4d5,-9.895446,-1.9829682,4,2
Or4d6,-14.516124,5.5902915,4,2
Or4e1,2.6513157,7.9628263,4,2
Or4e2,1.433649,2.8509398,4,2
Or4e5,-0.0072582853,12.550994,4,2
Or4f14,-1.9235287,0.22541122,4,2
Or4f14b,-1.4005982,-2.3901196,4,2
Or4f14d,-6.403571,3.7829728,4,2
Or4f15,-5.38542,-0.17728259,4,2
Or4f47,-11.553404,10.35396,4,2
Or4f4b,-10.615044,8.891814,4,2
Or4f52,-1.9456582,6.8928623,4,2
Or4f53,-9.12111,1.2894756,4,2
Or4f54,-11.861407,4.918115,4,2
Or4f56,-0.56605196,12.417982,4,2
Or4f57,-4.1878767,-7.008577,4,2
Or4f58,-8.989074,8.419302,4,2
Or4f59,3.9230247,-4.2397075,4,2
Or4f6,-1.9106698,8.937877,4,2
Or4f60,-1.3158791,1.6199067,4,2
Or4f61,-4.629414,3.8436272,4,2
Or4f62,-11.553504,11.381719,4,2
Or4f7,-12.019016,-2.494412,4,2
Or4g16,-5.887347,-0.46631894,4,2
Or4g17,-0.42227957,2.461145,4,2
Or4g7,-3.9791112,8.644421,4,2
Or4k1,6.882202,0.6365333,4,2
Or4k15,-1.0788934,8.724928,4,2
Or4k15b,-4.168018,9.601269,4,2
Or4k15c,-5.9053855,10.3462515,4,2
Or4k2,15.337094,-0.32498425,4,2
Or4k35,-1.4063997,11.133529,4,2
Or4k36,-1.6256378,4.7003894,4,2
Or4k37,-1.1923298,1.5323169,4,2
Or4k38,-6.3690677,7.891451,4,2
Or4k40,-5.203986,5.015427,4,2
Or4k41,5.991233,6.0118227,4,2
Or4k42,-2.0357988,2.198435,4,2
Or4k44,-0.67135704,9.339005,4,2
Or4k45,1.2746713,8.02749,4,2
Or4k47,1.189018,5.5451894,4,2
Or4k48,2.874819,1.482518,4,2
Or4k49,-5.8343024,2.7676702,4,2
Or4k5,4.4303455,7.4654794,4,2
Or4k51,-2.8395543,5.768235,4,2
Or4k52,-1.5545162,1.7590214,4,2
Or4k6,5.8859515,-2.4785726,4,2
Or4k77,-3.5104399,3.0624862,4,2
Or4l1,-3.7702293,8.739327,4,2
Or4l15,-5.162858,9.324189,4,2
Or4m1,-5.007727,12.001639,4,2
Or4n4,-15.216816,14.144621,4,2
Or4n4b,-9.764215,17.63243,4,2
Or4n5,-7.32427,8.996636,4,2
Or4p18,-0.28615025,8.743526,4,2
Or4p19,0.23915665,6.95225,4,2
Or4p20,-4.0522914,9.902681,4,2
Or4p21,-1.7048197,6.895677,4,2
Or4p22,-3.5592103,6.172211,4,2
Or4p23,-0.14752059,22.012619,4,2
Or4p7,-5.558955,12.044707,4,2
Or4p8,1.8413441,20.675669,4,2
Or4q3,2.384098,-15.38404,4,2
Or4s2b,-2.6790633,18.406767,4,2
Or4x11,-6.6116285,9.414795,4,2
Or4x13,-8.205252,3.552954,4,2
Or4x6,-7.627684,2.0443904,4,2
Or4z4,-8.3261795,-0.41286954,4,2
Or5a1,-2.0648835,-4.2111745,5,2
Or5a3,1.7536258,2.7711933,5,2
Or5ac15,4.549395,1.3097055,5,2
Or5ac16,-0.59387165,2.6084392,5,2
Or5ac17,-0.72984356,3.7033985,5,2
Or5ac19,2.401005,0.80001926,5,2
Or5ac20,7.3226705,2.3939817,5,2
Or5ac21,0.17909949,7.8619723,5,2
Or5ac22,0.91537046,8.921795,5,2
Or5ac23,6.1656713,8.680252,5,2
Or5ac24,9.359783,15.439747,5,2
Or5af1,-0.9985131,-5.2798057,5,2
Or5af2,0.5335645,-12.323701,5,2
Or5ak20,10.622939,4.23839,5,2
Or5ak22,5.9662576,2.6478362,5,2
Or5ak23,7.4023557,17.63078,5,2
Or5ak24,15.254263,17.78916,5,2
Or5ak25,21.224,13.813138,5,2
Or5ak4,5.177261,12.577837,5,2
Or5al1,8.930664,-1.895564,5,2
Or5al5,8.508024,6.187377,5,2
Or5al6,10.803907,1.0519369,5,2
Or5al7,21.97482,7.112465,5,2
Or5an10,19.75233,1.5649549,5,2
Or5an11,16.418118,3.675097,5,2
Or5an1b,22.459402,-3.8197463,5,2
Or5an1c,21.327024,2.2027323,5,2
Or5an6,10.689252,-2.088801,5,2
Or5an9,20.410519,1.5249251,5,2
Or5ap2,6.7098064,3.6838923,5,2
Or5aq1,0.64861345,5.146249,5,2
Or5aq1b,-4.5502605,8.169827,5,2
Or5aq6,5.643674,1.7439593,5,2
Or5aq7,-1.1871524,13.302934,5,2
Or5ar1,6.048821,11.498226,5,2
Or5as1,14.801354,6.3373303,5,2
Or5au1,6.609355,-11.40029,5,2
Or5b101,23.009846,-1.9165673,5,2
Or5b102,17.14399,9.46033,5,2
Or5b104,23.893871,0.83562624,5,2
Or5b106,16.966984,-0.6258898,5,2
Or5b107,14.06737,11.814168,5,2
Or5b108,21.197477,4.6006126,5,2
Or5b109,6.006192,0.4482216,5,2
Or5b111,17.178658,-1.0043919,5,2
Or5b112,11.450763,9.771214,5,2
Or5b113,10.658848,4.2716475,5,2
Or5b116,13.64381,0.39539728,5,2
Or5b117,18.324461,7.3959312,5,2
Or5b118,8.556079,-2.256579,5,2
Or5b119,18.797369,12.110078,5,2
Or5b12,11.975007,-5.244285,5,2
Or5b120,11.851427,-5.3852286,5,2
Or5b121,22.010931,3.4305475,5,2
Or5b122,15.254845,3.0021853,5,2
Or5b123,14.068163,-5.988788,5,2
Or5b124,13.327731,5.17308,5,2
Or5b12b,12.469738,-2.4774444,5,2
Or5b21,7.1996317,4.582336,5,2
Or5b24,5.468799,-0.6901516,5,2
Or5b3,16.739893,-0.6747279,5,2
Or5b94,6.2658296,7.450123,5,2
Or5b95,6.858869,3.8618355,5,2
Or5b96,11.099293,5.1140213,5,2
Or5b97,12.449821,1.0545938,5,2
Or5b98,13.006521,-8.061674,5,2
Or5b99,24.416643,-7.456348,5,2
Or5be3,13.761388,-8.606215,5,2
Or5bh3,6.6173677,-10.787508,5,2
Or5bw2,-0.9421435,-21.29353,5,2
Or5c1,-11.464107,0.9456483,5,2
Or5d14,13.582382,5.512971,5,2
Or5d16,16.167667,-4.686073,5,2
Or5d18,11.639187,3.5540252,5,2
Or5d35,14.714622,11.918368,5,2
Or5d36,17.693638,-0.36354902,5,2
Or5d37,15.842737,-4.214869,5,2
Or5d38,14.62537,-0.60689455,5,2
Or5d39,22.270876,-2.9384398,5,2
Or5d40,5.0884733,-2.087478,5,2
Or5d41,16.160519,1.5627501,5,2
Or5d43,1.8431362,-3.4865832,5,2
Or5d46,12.595999,3.9443672,5,2
Or5d47,15.095024,2.5478988,5,2
Or5e1,6.313711,0.7165916,5,2
Or5g23,-2.9467099,15.969215,5,2
Or5g25,11.173324,2.3715014,5,2
Or5g26,10.295518,3.2115119,5,2
Or5g27,-4.7611465,7.748446,5,2
Or5g29,-2.1348848,6.795005,5,2
Or5g9,-3.540338,15.55632,5,2
Or5h17,0.743788,5.856262,5,2
Or5h18,-0.41095644,-2.9090068,5,2
Or5h19,5.081411,3.3545263,5,2
Or5h22,3.722425,7.693323,5,2
Or5h23,-0.8979128,4.4251204,5,2
Or5h25,-1.1588601,6.0967164,5,2
Or5h26,4.349185,1.9021864,5,2
Or5i1,12.623318,7.3743205,5,2
Or5j1,5.1247425,-2.2236922,5,2
Or5j3,11.082557,7.218126,5,2
Or5k1,4.629302,14.340658,5,2
Or5k14,5.0236487,8.235462,5,2
Or5k15,8.207248,7.3956866,5,2
Or5k16,6.1365843,5.707011,5,2
Or5k17,8.365625,2.4748905,5,2
Or5k1b,3.9791286,13.276944,5,2
Or5k3,2.6066236,1.9620795,5,2
Or5l13,23.975515,8.913234,5,2
Or5l14,22.99506,-6.640569,5,2
Or5m10,2.3126013,-2.4539018,5,2
Or5m10b,10.299478,-3.419162,5,2
Or5m11,-0.24005508,8.660399,5,2
Or5m11b,-3.1839235,9.774537,5,2
Or5m12,-0.68356156,9.118507,5,2
Or5m13b,0.3614586,20.194902,5,2
Or5m3,-7.1398954,28.009367,5,2
Or5m3b,-8.404478,28.933882,5,2
Or5m5,-2.5220094,14.809684,5,2
Or5m8,2.5530088,1.8592396,5,2
Or5m9,0.988921,16.033777,5,2
Or5m9b,3.1385064,14.968969,5,2
Or5o1,-1.8924377,-8.937683,5,2
Or5p1,6.6121964,-2.4362414,5,2
Or5p4,5.724068,-8.330293,5,2
Or5p5,4.6547604,-5.729536,5,2
Or5p50,13.798363,-0.47898877,5,2
Or5p51,14.214057,-2.9957159,5,2
Or5p52,12.011923,2.3800106,5,2
Or5p53,7.301571,-3.224393,5,2
Or5p54,15.711231,-4.505522,5,2
Or5p55,8.431813,7.2096524,5,2
Or5p56,8.141552,4.4153132,5,2
Or5p57,12.265394,-1.2546504,5,2
Or5p58,22.762667,-0.41254184,5,2
Or5p59,17.906853,-7.4364696,5,2
Or5p6,10.833854,5.1777043,5,2
Or5p60,12.41419,1.6633469,5,2
Or5p61,13.184591,-6.2451396,5,2
Or5p62,16.04961,5.3833175,5,2
Or5p63,18.374174,3.7386706,5,2
Or5p64,14.020715,2.6695218,5,2
Or5p66,18.588266,-0.19142991,5,2
Or5p67,16.734907,6.319257,5,2
Or5p68,16.429722,-5.008672,5,2
Or5p69,18.928804,-1.2894881,5,2
Or5p70,18.776144,-0.28782102,5,2
Or5p72,16.71718,-3.4790697,5,2
Or5p73,23.32685,1.5073351,5,2
Or5p76,12.432336,1.1953827,5,2
Or5p78,15.0267105,5.953538,5,2
Or5p79,17.657219,-3.2341387,5,2
Or5p80,6.9520698,2.5490797,5,2
Or5p81,15.373844,6.2569447,5,2
Or5t15,7.030202,13.423821,5,2
Or5t16,10.066836,14.33162,5,2
Or5t17,2.2533696,5.7979355,5,2
Or5t18,6.4315104,17.919582,5,2
Or5t5,5.197804,0.83002204,5,2
Or5t7,4.0290227,9.033653,5,2
Or5t9,7.6508374,9.971991,5,2
Or5v1,-4.5974894,6.1078296,5,2
Or5v1b,-4.167911,5.3900614,5,2
Or5w1,9.941628,6.1021905,5,2
Or5w10,14.970057,0.05216337,5,2
Or5w11,7.3874125,2.2452302,5,2
Or5w12,11.806239,12.760705,5,2
Or5w13,9.717332,-9.301893,5,2
Or5w14,14.488697,-7.2672176,5,2
Or5w15,17.85487,-8.192686,5,2
Or5w16,16.94885,1.8139815,5,2
Or5w18,23.432327,-1.4678264,5,2
Or5w19,15.078226,1.7112719,5,2
Or5w1b,11.916048,5.195814,5,2
Or5w20,14.689865,7.0695395,5,2
Or5w22,11.479159,1.6950873,5,2
Or5w8,16.686567,3.0752077,5,2
Or6a2,-15.648353,2.34339,6,2
Or6aa1,1.825309,1.3832334,6,2
Or6ae1,-0.417413,-13.568204,6,2
Or6b1,-7.205624,10.9323,6,2
Or6b13,-3.371132,-14.27375,6,2
Or6b2,-4.041759,5.013786,6,2
Or6b2b,-4.084528,7.826841,6,2
Or6b3,-6.687558,6.571114,6,2
Or6b6,0.090308,11.388632,6,2
Or6b9,-0.8120859,6.6434255,6,2
Or6c1,16.012081,6.3211865,6,2
Or6c1b,8.430108,8.833311,6,2
Or6c2,5.631588,13.550004,6,2
Or6c201,11.0218935,11.43881,6,2
Or6c202,14.596267,19.287912,6,2
Or6c203,3.9283898,14.345423,6,2
Or6c204,4.2602863,14.43676,6,2
Or6c205,17.378399,10.114637,6,2
Or6c206,14.640793,13.209109,6,2
Or6c207,10.796382,14.33042,6,2
Or6c208,-2.012189,7.003057,6,2
Or6c209,6.363143,21.474216,6,2
Or6c210,11.162955,17.444042,6,2
Or6c211,-3.7440994,10.715279,6,2
Or6c212,-0.13404356,5.6521606,6,2
Or6c213,0.52021176,12.338527,6,2
Or6c214,10.246541,21.49755,6,2
Or6c215,-2.5650067,1.7990391,6,2
Or6c216,-0.91160226,3.3895419,6,2
Or6c217,6.442295,7.845979,6,2
Or6c219,-4.334401,6.195984,6,2
Or6c2b,5.9374814,14.738132,6,2
Or6c3,5.7272496,9.732618,6,2
Or6c33,2.1486757,7.5742784,6,2
Or6c35,6.5952997,21.04511,6,2
Or6c38,12.318192,24.867407,6,2
Or6c3b,7.783642,15.835074,6,2
Or6c5,12.424933,16.771133,6,2
Or6c5b,10.391171,10.826704,6,2
Or6c5c,12.303888,12.763331,6,2
Or6c6,2.636951,2.8490455,6,2
Or6c65,4.114375,14.605195,6,2
Or6c66,14.877338,14.011851,6,2
Or6c66b,10.68956,14.214912,6,2
Or6c68,13.3555765,12.857267,6,2
Or6c69,8.635345,6.4416585,6,2
Or6c69b,6.19901,6.0617013,6,2
Or6c69c,9.041454,10.611513,6,2
Or6c6c,3.6111884,5.6551185,6,2
Or6c7,2.6368449,17.958574,6,2
Or6c70,6.065506,8.733702,6,2
Or6c74,6.736552,-1.6736636,6,2
Or6c75,6.6693454,5.194185,6,2
Or6c76,12.533036,-1.1064392,6,2
Or6c76b,10.241152,4.421875,6,2
Or6c8,5.4786773,4.1954055,6,2
Or6c88,11.754191,13.928085,6,2
Or6d12,-8.271758,-6.9288025,6,2
Or6d13,-7.728788,-8.439564,6,2
Or6d14,-7.579126,-3.3200154,6,2
Or6d15,-3.4651098,-1.068858,6,2
Or6e1,-1.4852029,10.130796,6,2
Or6f1,-8.475537,-3.592913,6,2
Or6f2,-15.564828,1.8936749,6,2
Or6k14,5.5601196,10.611157,6,2
Or6k2,-5.594398,-6.610947,6,2
Or6k4,-10.647791,13.863568,6,2
Or6k6,-8.108133,11.27223,6,2
Or6n1,-12.946835,5.11375,6,2
Or6n2,-9.4066925,3.3972182,6,2
Or6p1,-18.10657,-2.215594,6,2
Or6s1,-11.405711,-5.7126446,6,2
Or6x1,-9.859429,11.302667,6,2
Or6y1,-2.7707603,0.42388093,6,2
Or6z1,-5.792466,-9.885628,6,2
Or6z3,-6.331762,-15.693132,6,2
Or6z5,2.5729606,-24.920345,6,2
Or6z6,-3.4833975,-12.946456,6,2
Or6z7,-8.756352,-4.9206867,6,2
Or7a35,12.0709715,-16.326021,7,2
Or7a36,9.015171,-8.866355,7,2
Or7a37,6.2891498,0.8720707,7,2
Or7a38,23.218254,-19.685305,7,2
Or7a39,19.244223,-24.943003,7,2
Or7a40,7.983366,-10.54425,7,2
Or7a41,13.265354,-11.946955,7,2
Or7a42,20.611818,-21.684187,7,2
Or7c19,5.661366,-16.649342,7,2
Or7c70,14.753402,-15.760882,7,2
Or7d10,7.390637,-8.172256,7,2
Or7d11,8.239897,-9.37167,7,2
Or7d9,22.913284,-16.344568,7,2
Or7e165,12.175862,-15.650501,7,2
Or7e166,11.377367,-17.667336,7,2
Or7e168,13.529622,-13.177825,7,2
Or7e169,15.75827,-17.148014,7,2
Or7e170,6.5767846,-8.798577,7,2
Or7e173,12.147185,-4.7101245,7,2
Or7e174,17.935614,-13.620948,7,2
Or7e175,14.471745,-10.592753,7,2
Or7e176,13.875833,-9.506394,7,2
Or7e177,9.799487,-1.4342326,7,2
Or7e178,9.87783,-22.162935,7,2
Or7g12,8.502922,3.3364427,7,2
Or7g16,29.219862,-6.413041,7,2
Or7g17,16.347754,7.742309,7,2
Or7g18,14.71217,2.0786724,7,2
Or7g19,10.821498,6.226004,7,2
Or7g20,19.01096,-5.4403896,7,2
Or7g21,14.567149,4.0635133,7,2
Or7g22,10.777959,6.5719423,7,2
Or7g25,20.787674,-3.646393,7,2
Or7g27,5.853958,-5.904829,7,2
Or7g28,16.72164,-1.2336303,7,2
Or7g29,17.500538,-0.15158229,7,2
Or7g30,16.992332,2.3214762,7,2
Or7g32,27.156843,-3.1241696,7,2
Or7g33,5.357905,0.1901131,7,2
Or7g34,13.763483,-9.15435,7,2
Or7g35,21.628899,-7.07308,7,2
Or7h8,12.173435,-3.0857751,7,2
Or8a1b,19.505964,0.91721284,8,2
Or8b1,25.136469,-4.8253555,8,2
Or8b101,11.32361,-3.3405118,8,2
